otimizacao;limite_inferior;limite_superior;variavel;nome;data_caso
1.03751864276305;0.5;2;prec (t-31);boa_esperanca;2001-02-08
1.06878451207252;0.5;2;prec (t-30);boa_esperanca;2001-02-08
1.03965284959859;0.5;2;prec (t-29);boa_esperanca;2001-02-08
1.03307801073883;0.5;2;prec (t-28);boa_esperanca;2001-02-08
1.18631009575739;0.5;2;prec (t-27);boa_esperanca;2001-02-08
1.12228416311507;0.5;2;prec (t-26);boa_esperanca;2001-02-08
1.22091733666548;0.5;2;prec (t-25);boa_esperanca;2001-02-08
1.01086184390712;0.5;2;prec (t-24);boa_esperanca;2001-02-08
1.00018441515054;0.5;2;prec (t-23);boa_esperanca;2001-02-08
1.0000008976347;0.5;2;prec (t-22);boa_esperanca;2001-02-08
1.0000005318943;0.5;2;prec (t-21);boa_esperanca;2001-02-08
1.00351503117773;0.5;2;prec (t-20);boa_esperanca;2001-02-08
1.04443851195076;0.5;2;prec (t-19);boa_esperanca;2001-02-08
1.07112905197646;0.5;2;prec (t-18);boa_esperanca;2001-02-08
1.40489481872289;0.5;2;prec (t-17);boa_esperanca;2001-02-08
1.50412697874943;0.5;2;prec (t-16);boa_esperanca;2001-02-08
1.62267541589809;0.5;2;prec (t-15);boa_esperanca;2001-02-08
1.60585387560595;0.5;2;prec (t-14);boa_esperanca;2001-02-08
1.36460053454397;0.5;2;prec (t-13);boa_esperanca;2001-02-08
1.10192276342742;0.5;2;prec (t-12);boa_esperanca;2001-02-08
1.13113730466278;0.5;2;prec (t-11);boa_esperanca;2001-02-08
1.25319678583697;0.5;2;prec (t-10);boa_esperanca;2001-02-08
1.26689957229548;0.5;2;prec (t-9);boa_esperanca;2001-02-08
1.1408052767394;0.5;2;prec (t-8);boa_esperanca;2001-02-08
0.836746800464876;0.5;2;prec (t-7);boa_esperanca;2001-02-08
1.20467845012903;0.5;2;prec (t-6);boa_esperanca;2001-02-08
1.24753997105646;0.5;2;prec (t-5);boa_esperanca;2001-02-08
1.35551832788832;0.5;2;prec (t-4);boa_esperanca;2001-02-08
0.864804105436478;0.5;2;prec (t-3);boa_esperanca;2001-02-08
1.61150991128162;0.5;2;prec (t-2);boa_esperanca;2001-02-08
1;0.9999999999;1.0000000001;prec (t-1);boa_esperanca;2001-02-08
1;0.5;2;etp (t-31);boa_esperanca;2001-02-08
1;0.5;2;etp (t-30);boa_esperanca;2001-02-08
1;0.5;2;etp (t-29);boa_esperanca;2001-02-08
1;0.5;2;etp (t-28);boa_esperanca;2001-02-08
1;0.5;2;etp (t-27);boa_esperanca;2001-02-08
1;0.5;2;etp (t-26);boa_esperanca;2001-02-08
0.827156389543354;0.5;2;etp (t-25);boa_esperanca;2001-02-08
0.912061340400279;0.5;2;etp (t-24);boa_esperanca;2001-02-08
0.915048386162562;0.5;2;etp (t-23);boa_esperanca;2001-02-08
0.901885366396242;0.5;2;etp (t-22);boa_esperanca;2001-02-08
0.906759624710683;0.5;2;etp (t-21);boa_esperanca;2001-02-08
0.972751873979409;0.5;2;etp (t-20);boa_esperanca;2001-02-08
0.972328712689323;0.5;2;etp (t-19);boa_esperanca;2001-02-08
0.933011079946688;0.5;2;etp (t-18);boa_esperanca;2001-02-08
0.91326300110848;0.5;2;etp (t-17);boa_esperanca;2001-02-08
0.818527985811481;0.5;2;etp (t-16);boa_esperanca;2001-02-08
0.84134354568888;0.5;2;etp (t-15);boa_esperanca;2001-02-08
0.872643590685477;0.5;2;etp (t-14);boa_esperanca;2001-02-08
0.890212726554856;0.5;2;etp (t-13);boa_esperanca;2001-02-08
0.882651558837416;0.5;2;etp (t-12);boa_esperanca;2001-02-08
0.883833307110109;0.5;2;etp (t-11);boa_esperanca;2001-02-08
0.902010221422783;0.5;2;etp (t-10);boa_esperanca;2001-02-08
0.907438487689824;0.5;2;etp (t-9);boa_esperanca;2001-02-08
0.910683700476709;0.5;2;etp (t-8);boa_esperanca;2001-02-08
0.871293581176883;0.5;2;etp (t-7);boa_esperanca;2001-02-08
0.862493551054899;0.5;2;etp (t-6);boa_esperanca;2001-02-08
0.857956795445224;0.5;2;etp (t-5);boa_esperanca;2001-02-08
0.878263032246773;0.5;2;etp (t-4);boa_esperanca;2001-02-08
0.866556300923014;0.5;2;etp (t-3);boa_esperanca;2001-02-08
1;0.5;2;etp (t-2);boa_esperanca;2001-02-08
1;0.5;2;etp (t-1);boa_esperanca;2001-02-08
220.887543070788;160;240;Ebin;boa_esperanca;2001-02-08
158.176187412998;0;978.256190876046;Supin;boa_esperanca;2001-02-08
0.836903101688348;0.5;2;prec (t-31);boa_esperanca;2001-03-08
1.86361527058213;0.5;2;prec (t-30);boa_esperanca;2001-03-08
1.12340462238211;0.5;2;prec (t-29);boa_esperanca;2001-03-08
0.981743755898004;0.5;2;prec (t-28);boa_esperanca;2001-03-08
0.976531200737135;0.5;2;prec (t-27);boa_esperanca;2001-03-08
0.724761550890959;0.5;2;prec (t-26);boa_esperanca;2001-03-08
0.880694494970025;0.5;2;prec (t-25);boa_esperanca;2001-03-08
1.0103790670384;0.5;2;prec (t-24);boa_esperanca;2001-03-08
1.03051353905982;0.5;2;prec (t-23);boa_esperanca;2001-03-08
0.981299240230534;0.5;2;prec (t-22);boa_esperanca;2001-03-08
1.1629277450136;0.5;2;prec (t-21);boa_esperanca;2001-03-08
1.78059096785434;0.5;2;prec (t-20);boa_esperanca;2001-03-08
1.07611219909883;0.5;2;prec (t-19);boa_esperanca;2001-03-08
0.709097593825742;0.5;2;prec (t-18);boa_esperanca;2001-03-08
0.839781712140424;0.5;2;prec (t-17);boa_esperanca;2001-03-08
1.10475370429975;0.5;2;prec (t-16);boa_esperanca;2001-03-08
0.639909736636799;0.5;2;prec (t-15);boa_esperanca;2001-03-08
0.593911504528032;0.5;2;prec (t-14);boa_esperanca;2001-03-08
1.03208057829262;0.5;2;prec (t-13);boa_esperanca;2001-03-08
1.34482910434981;0.5;2;prec (t-12);boa_esperanca;2001-03-08
0.5;0.5;2;prec (t-11);boa_esperanca;2001-03-08
1.00652925883297;0.5;2;prec (t-10);boa_esperanca;2001-03-08
0.820286926101805;0.5;2;prec (t-9);boa_esperanca;2001-03-08
0.803378115309159;0.5;2;prec (t-8);boa_esperanca;2001-03-08
0.655826862826985;0.5;2;prec (t-7);boa_esperanca;2001-03-08
1.02745644814548;0.5;2;prec (t-6);boa_esperanca;2001-03-08
1.9996986080656;0.5;2;prec (t-5);boa_esperanca;2001-03-08
1.61079081019871;0.5;2;prec (t-4);boa_esperanca;2001-03-08
0.984293829240858;0.5;2;prec (t-3);boa_esperanca;2001-03-08
0.745002689623072;0.5;2;prec (t-2);boa_esperanca;2001-03-08
0.745002689623072;0.9999999999;1.0000000001;prec (t-1);boa_esperanca;2001-03-08
0.787353877456834;0.5;2;etp (t-31);boa_esperanca;2001-03-08
0.963533227183281;0.5;2;etp (t-30);boa_esperanca;2001-03-08
1.08186952026327;0.5;2;etp (t-29);boa_esperanca;2001-03-08
1.07949355911632;0.5;2;etp (t-28);boa_esperanca;2001-03-08
1.03764921606413;0.5;2;etp (t-27);boa_esperanca;2001-03-08
0.973575725918465;0.5;2;etp (t-26);boa_esperanca;2001-03-08
0.931013348432913;0.5;2;etp (t-25);boa_esperanca;2001-03-08
0.919635807123404;0.5;2;etp (t-24);boa_esperanca;2001-03-08
0.915241379181928;0.5;2;etp (t-23);boa_esperanca;2001-03-08
0.92662615236854;0.5;2;etp (t-22);boa_esperanca;2001-03-08
0.85489647682468;0.5;2;etp (t-21);boa_esperanca;2001-03-08
0.95199930877195;0.5;2;etp (t-20);boa_esperanca;2001-03-08
0.950349845593329;0.5;2;etp (t-19);boa_esperanca;2001-03-08
0.924320818596199;0.5;2;etp (t-18);boa_esperanca;2001-03-08
0.907720232192386;0.5;2;etp (t-17);boa_esperanca;2001-03-08
0.919388969150577;0.5;2;etp (t-16);boa_esperanca;2001-03-08
0.873134945632493;0.5;2;etp (t-15);boa_esperanca;2001-03-08
0.790278496121708;0.5;2;etp (t-14);boa_esperanca;2001-03-08
0.744957773288927;0.5;2;etp (t-13);boa_esperanca;2001-03-08
0.889365435104501;0.5;2;etp (t-12);boa_esperanca;2001-03-08
0.795367468746763;0.5;2;etp (t-11);boa_esperanca;2001-03-08
0.7300582660314;0.5;2;etp (t-10);boa_esperanca;2001-03-08
0.641478259060115;0.5;2;etp (t-9);boa_esperanca;2001-03-08
0.500097446982645;0.5;2;etp (t-8);boa_esperanca;2001-03-08
0.5;0.5;2;etp (t-7);boa_esperanca;2001-03-08
0.5;0.5;2;etp (t-6);boa_esperanca;2001-03-08
0.70076975634824;0.5;2;etp (t-5);boa_esperanca;2001-03-08
1.01633514173036;0.5;2;etp (t-4);boa_esperanca;2001-03-08
1.08466094742499;0.5;2;etp (t-3);boa_esperanca;2001-03-08
1;0.5;2;etp (t-2);boa_esperanca;2001-03-08
1;0.5;2;etp (t-1);boa_esperanca;2001-03-08
241.605618457094;173.9119230434;260.8678845651;Ebin;boa_esperanca;2001-03-08
201.474670856076;0;1001.42232546202;Supin;boa_esperanca;2001-03-08
0.967280502797278;0.5;2;prec (t-31);boa_esperanca;2001-04-08
0.993783949421379;0.5;2;prec (t-30);boa_esperanca;2001-04-08
0.958285604093485;0.5;2;prec (t-29);boa_esperanca;2001-04-08
0.5;0.5;2;prec (t-28);boa_esperanca;2001-04-08
0.831880833447478;0.5;2;prec (t-27);boa_esperanca;2001-04-08
1.36789499882535;0.5;2;prec (t-26);boa_esperanca;2001-04-08
1.4393810887835;0.5;2;prec (t-25);boa_esperanca;2001-04-08
1.33684688603687;0.5;2;prec (t-24);boa_esperanca;2001-04-08
0.808222609952618;0.5;2;prec (t-23);boa_esperanca;2001-04-08
0.684416417244612;0.5;2;prec (t-22);boa_esperanca;2001-04-08
0.762325616566148;0.5;2;prec (t-21);boa_esperanca;2001-04-08
0.834424028616352;0.5;2;prec (t-20);boa_esperanca;2001-04-08
0.5;0.5;2;prec (t-19);boa_esperanca;2001-04-08
0.5;0.5;2;prec (t-18);boa_esperanca;2001-04-08
1.02759507709489;0.5;2;prec (t-17);boa_esperanca;2001-04-08
1.01106289228775;0.5;2;prec (t-16);boa_esperanca;2001-04-08
1.0300313887544;0.5;2;prec (t-15);boa_esperanca;2001-04-08
1.0662068950784;0.5;2;prec (t-14);boa_esperanca;2001-04-08
1.07556459782239;0.5;2;prec (t-13);boa_esperanca;2001-04-08
1.17443233963526;0.5;2;prec (t-12);boa_esperanca;2001-04-08
1.27967713405057;0.5;2;prec (t-11);boa_esperanca;2001-04-08
1.60045165911674;0.5;2;prec (t-10);boa_esperanca;2001-04-08
1.94556538712079;0.5;2;prec (t-9);boa_esperanca;2001-04-08
1.4761068566948;0.5;2;prec (t-8);boa_esperanca;2001-04-08
2;0.5;2;prec (t-7);boa_esperanca;2001-04-08
1.27619535446248;0.5;2;prec (t-6);boa_esperanca;2001-04-08
0.997545172400615;0.5;2;prec (t-5);boa_esperanca;2001-04-08
1.34700650068238;0.5;2;prec (t-4);boa_esperanca;2001-04-08
0.8688184561573;0.5;2;prec (t-3);boa_esperanca;2001-04-08
1;0.5;2;prec (t-2);boa_esperanca;2001-04-08
1;0.9999999999;1.0000000001;prec (t-1);boa_esperanca;2001-04-08
1.03344005899001;0.5;2;etp (t-31);boa_esperanca;2001-04-08
1.03360753057008;0.5;2;etp (t-30);boa_esperanca;2001-04-08
1.05207019957597;0.5;2;etp (t-29);boa_esperanca;2001-04-08
1.00993081021874;0.5;2;etp (t-28);boa_esperanca;2001-04-08
0.972943726689113;0.5;2;etp (t-27);boa_esperanca;2001-04-08
0.963759910506194;0.5;2;etp (t-26);boa_esperanca;2001-04-08
0.920107084278089;0.5;2;etp (t-25);boa_esperanca;2001-04-08
0.553244924975857;0.5;2;etp (t-24);boa_esperanca;2001-04-08
0.662131860115678;0.5;2;etp (t-23);boa_esperanca;2001-04-08
0.627042292690694;0.5;2;etp (t-22);boa_esperanca;2001-04-08
0.661253554419077;0.5;2;etp (t-21);boa_esperanca;2001-04-08
0.88421528603943;0.5;2;etp (t-20);boa_esperanca;2001-04-08
1.07833585095081;0.5;2;etp (t-19);boa_esperanca;2001-04-08
1.2184380504363;0.5;2;etp (t-18);boa_esperanca;2001-04-08
0.955115569201359;0.5;2;etp (t-17);boa_esperanca;2001-04-08
0.788524211096748;0.5;2;etp (t-16);boa_esperanca;2001-04-08
0.803687958010804;0.5;2;etp (t-15);boa_esperanca;2001-04-08
0.785217528399852;0.5;2;etp (t-14);boa_esperanca;2001-04-08
0.783767668107779;0.5;2;etp (t-13);boa_esperanca;2001-04-08
0.635783433458303;0.5;2;etp (t-12);boa_esperanca;2001-04-08
0.670682023166596;0.5;2;etp (t-11);boa_esperanca;2001-04-08
0.669938575506049;0.5;2;etp (t-10);boa_esperanca;2001-04-08
0.730519612137163;0.5;2;etp (t-9);boa_esperanca;2001-04-08
0.87283589731738;0.5;2;etp (t-8);boa_esperanca;2001-04-08
0.952520266095804;0.5;2;etp (t-7);boa_esperanca;2001-04-08
1.00164886690274;0.5;2;etp (t-6);boa_esperanca;2001-04-08
1.00678201236481;0.5;2;etp (t-5);boa_esperanca;2001-04-08
1.04866587861668;0.5;2;etp (t-4);boa_esperanca;2001-04-08
1.0146450369387;0.5;2;etp (t-3);boa_esperanca;2001-04-08
1;0.5;2;etp (t-2);boa_esperanca;2001-04-08
1;0.5;2;etp (t-1);boa_esperanca;2001-04-08
271.121008759856;209.581830200698;314.372745301047;Ebin;boa_esperanca;2001-04-08
127.013996402179;0;2885.34078936181;Supin;boa_esperanca;2001-04-08
1.01188525120348;0.5;2;prec (t-31);boa_esperanca;2001-05-08
1.03434044398268;0.5;2;prec (t-30);boa_esperanca;2001-05-08
1.08243372987234;0.5;2;prec (t-29);boa_esperanca;2001-05-08
1.04868998473174;0.5;2;prec (t-28);boa_esperanca;2001-05-08
1.07213528875339;0.5;2;prec (t-27);boa_esperanca;2001-05-08
1.16883243957759;0.5;2;prec (t-26);boa_esperanca;2001-05-08
1.17769993553592;0.5;2;prec (t-25);boa_esperanca;2001-05-08
1.16220647652564;0.5;2;prec (t-24);boa_esperanca;2001-05-08
2;0.5;2;prec (t-23);boa_esperanca;2001-05-08
2;0.5;2;prec (t-22);boa_esperanca;2001-05-08
2;0.5;2;prec (t-21);boa_esperanca;2001-05-08
1.39353483574202;0.5;2;prec (t-20);boa_esperanca;2001-05-08
1.23058188914973;0.5;2;prec (t-19);boa_esperanca;2001-05-08
1.03383173035517;0.5;2;prec (t-18);boa_esperanca;2001-05-08
1.0214378026589;0.5;2;prec (t-17);boa_esperanca;2001-05-08
1.19700479343888;0.5;2;prec (t-16);boa_esperanca;2001-05-08
1.48624191241894;0.5;2;prec (t-15);boa_esperanca;2001-05-08
2;0.5;2;prec (t-14);boa_esperanca;2001-05-08
0.926517086133066;0.5;2;prec (t-13);boa_esperanca;2001-05-08
0.999483136006552;0.5;2;prec (t-12);boa_esperanca;2001-05-08
0.998348113724075;0.5;2;prec (t-11);boa_esperanca;2001-05-08
0.992431473335278;0.5;2;prec (t-10);boa_esperanca;2001-05-08
0.997680085267553;0.5;2;prec (t-9);boa_esperanca;2001-05-08
0.999896741354173;0.5;2;prec (t-8);boa_esperanca;2001-05-08
0.999999504111271;0.5;2;prec (t-7);boa_esperanca;2001-05-08
0.999999999935723;0.5;2;prec (t-6);boa_esperanca;2001-05-08
1;0.5;2;prec (t-5);boa_esperanca;2001-05-08
1;0.5;2;prec (t-4);boa_esperanca;2001-05-08
1;0.5;2;prec (t-3);boa_esperanca;2001-05-08
1;0.5;2;prec (t-2);boa_esperanca;2001-05-08
1;0.9999999999;1.0000000001;prec (t-1);boa_esperanca;2001-05-08
0.5;0.5;2;etp (t-31);boa_esperanca;2001-05-08
0.5;0.5;2;etp (t-30);boa_esperanca;2001-05-08
0.5;0.5;2;etp (t-29);boa_esperanca;2001-05-08
0.5;0.5;2;etp (t-28);boa_esperanca;2001-05-08
0.5;0.5;2;etp (t-27);boa_esperanca;2001-05-08
0.5;0.5;2;etp (t-26);boa_esperanca;2001-05-08
0.5;0.5;2;etp (t-25);boa_esperanca;2001-05-08
0.5;0.5;2;etp (t-24);boa_esperanca;2001-05-08
0.5;0.5;2;etp (t-23);boa_esperanca;2001-05-08
1.28066484716845;0.5;2;etp (t-22);boa_esperanca;2001-05-08
2;0.5;2;etp (t-21);boa_esperanca;2001-05-08
2;0.5;2;etp (t-20);boa_esperanca;2001-05-08
2;0.5;2;etp (t-19);boa_esperanca;2001-05-08
2;0.5;2;etp (t-18);boa_esperanca;2001-05-08
2;0.5;2;etp (t-17);boa_esperanca;2001-05-08
2;0.5;2;etp (t-16);boa_esperanca;2001-05-08
2;0.5;2;etp (t-15);boa_esperanca;2001-05-08
2;0.5;2;etp (t-14);boa_esperanca;2001-05-08
2;0.5;2;etp (t-13);boa_esperanca;2001-05-08
2;0.5;2;etp (t-12);boa_esperanca;2001-05-08
1.71451848260025;0.5;2;etp (t-11);boa_esperanca;2001-05-08
1.36900662224681;0.5;2;etp (t-10);boa_esperanca;2001-05-08
1.18546760096169;0.5;2;etp (t-9);boa_esperanca;2001-05-08
1.09903788769554;0.5;2;etp (t-8);boa_esperanca;2001-05-08
1.04646597734292;0.5;2;etp (t-7);boa_esperanca;2001-05-08
1.01427498839865;0.5;2;etp (t-6);boa_esperanca;2001-05-08
1.00319139527483;0.5;2;etp (t-5);boa_esperanca;2001-05-08
1;0.5;2;etp (t-4);boa_esperanca;2001-05-08
1;0.5;2;etp (t-3);boa_esperanca;2001-05-08
1;0.5;2;etp (t-2);boa_esperanca;2001-05-08
1;0.5;2;etp (t-1);boa_esperanca;2001-05-08
232.41177857875;230.662305196068;345.993457794102;Ebin;boa_esperanca;2001-05-08
203.013486376931;0;1138.36111135293;Supin;boa_esperanca;2001-05-08
1.00003593137416;0.5;2;prec (t-31);boa_esperanca;2001-06-08
1.06390117347893;0.5;2;prec (t-30);boa_esperanca;2001-06-08
1.48167696246345;0.5;2;prec (t-29);boa_esperanca;2001-06-08
1.15515951730227;0.5;2;prec (t-28);boa_esperanca;2001-06-08
2;0.5;2;prec (t-27);boa_esperanca;2001-06-08
2;0.5;2;prec (t-26);boa_esperanca;2001-06-08
0.606392945355987;0.5;2;prec (t-25);boa_esperanca;2001-06-08
1.17312731185348;0.5;2;prec (t-24);boa_esperanca;2001-06-08
1.12439190572095;0.5;2;prec (t-23);boa_esperanca;2001-06-08
1.02765879337077;0.5;2;prec (t-22);boa_esperanca;2001-06-08
1.02556283294305;0.5;2;prec (t-21);boa_esperanca;2001-06-08
1.01739391028974;0.5;2;prec (t-20);boa_esperanca;2001-06-08
1.07963727287368;0.5;2;prec (t-19);boa_esperanca;2001-06-08
2;0.5;2;prec (t-18);boa_esperanca;2001-06-08
1.1807635704883;0.5;2;prec (t-17);boa_esperanca;2001-06-08
1.0120838452491;0.5;2;prec (t-16);boa_esperanca;2001-06-08
1.00009451030048;0.5;2;prec (t-15);boa_esperanca;2001-06-08
1.00079253689059;0.5;2;prec (t-14);boa_esperanca;2001-06-08
1.01065007757271;0.5;2;prec (t-13);boa_esperanca;2001-06-08
1.06147525602459;0.5;2;prec (t-12);boa_esperanca;2001-06-08
2;0.5;2;prec (t-11);boa_esperanca;2001-06-08
1.95388984489431;0.5;2;prec (t-10);boa_esperanca;2001-06-08
0.889572305413548;0.5;2;prec (t-9);boa_esperanca;2001-06-08
0.950059857624618;0.5;2;prec (t-8);boa_esperanca;2001-06-08
0.980492563062614;0.5;2;prec (t-7);boa_esperanca;2001-06-08
0.994820395650565;0.5;2;prec (t-6);boa_esperanca;2001-06-08
0.999617885588807;0.5;2;prec (t-5);boa_esperanca;2001-06-08
1;0.5;2;prec (t-4);boa_esperanca;2001-06-08
1;0.5;2;prec (t-3);boa_esperanca;2001-06-08
1;0.5;2;prec (t-2);boa_esperanca;2001-06-08
1;0.9999999999;1.0000000001;prec (t-1);boa_esperanca;2001-06-08
0.78930134631976;0.5;2;etp (t-31);boa_esperanca;2001-06-08
0.792167235138822;0.5;2;etp (t-30);boa_esperanca;2001-06-08
0.5;0.5;2;etp (t-29);boa_esperanca;2001-06-08
0.5;0.5;2;etp (t-28);boa_esperanca;2001-06-08
0.5;0.5;2;etp (t-27);boa_esperanca;2001-06-08
0.54102019684007;0.5;2;etp (t-26);boa_esperanca;2001-06-08
0.5;0.5;2;etp (t-25);boa_esperanca;2001-06-08
0.5;0.5;2;etp (t-24);boa_esperanca;2001-06-08
0.5;0.5;2;etp (t-23);boa_esperanca;2001-06-08
0.5;0.5;2;etp (t-22);boa_esperanca;2001-06-08
0.5;0.5;2;etp (t-21);boa_esperanca;2001-06-08
0.5;0.5;2;etp (t-20);boa_esperanca;2001-06-08
0.5;0.5;2;etp (t-19);boa_esperanca;2001-06-08
0.5;0.5;2;etp (t-18);boa_esperanca;2001-06-08
0.5;0.5;2;etp (t-17);boa_esperanca;2001-06-08
0.507609926062689;0.5;2;etp (t-16);boa_esperanca;2001-06-08
0.6371382850815;0.5;2;etp (t-15);boa_esperanca;2001-06-08
0.701593401826891;0.5;2;etp (t-14);boa_esperanca;2001-06-08
0.740472383964009;0.5;2;etp (t-13);boa_esperanca;2001-06-08
0.795119173477878;0.5;2;etp (t-12);boa_esperanca;2001-06-08
1.30057044880706;0.5;2;etp (t-11);boa_esperanca;2001-06-08
1.58068542212447;0.5;2;etp (t-10);boa_esperanca;2001-06-08
1.290407770281;0.5;2;etp (t-9);boa_esperanca;2001-06-08
1.25344859138595;0.5;2;etp (t-8);boa_esperanca;2001-06-08
1.17893205883813;0.5;2;etp (t-7);boa_esperanca;2001-06-08
1.09973680550868;0.5;2;etp (t-6);boa_esperanca;2001-06-08
1.02135089520739;0.5;2;etp (t-5);boa_esperanca;2001-06-08
1;0.5;2;etp (t-4);boa_esperanca;2001-06-08
1;0.5;2;etp (t-3);boa_esperanca;2001-06-08
1;0.5;2;etp (t-2);boa_esperanca;2001-06-08
1;0.5;2;etp (t-1);boa_esperanca;2001-06-08
203.861182880267;185.355529948162;278.033294922243;Ebin;boa_esperanca;2001-06-08
136.136869172177;0;970.08872673376;Supin;boa_esperanca;2001-06-08
1;0.5;2;prec (t-31);boa_esperanca;2001-07-08
1;0.5;2;prec (t-30);boa_esperanca;2001-07-08
1;0.5;2;prec (t-29);boa_esperanca;2001-07-08
1;0.5;2;prec (t-28);boa_esperanca;2001-07-08
1;0.5;2;prec (t-27);boa_esperanca;2001-07-08
1;0.5;2;prec (t-26);boa_esperanca;2001-07-08
1;0.5;2;prec (t-25);boa_esperanca;2001-07-08
1;0.5;2;prec (t-24);boa_esperanca;2001-07-08
1;0.5;2;prec (t-23);boa_esperanca;2001-07-08
