data_previsao;nome;valor;data_rodada;cenario
2001-01-02;boa_esperanca;3.9;2001-02-08;historico
2001-01-03;boa_esperanca;2.4;2001-02-08;historico
2001-01-04;boa_esperanca;2;2001-02-08;historico
2001-01-05;boa_esperanca;2;2001-02-08;historico
2001-01-06;boa_esperanca;1.3;2001-02-08;historico
2001-01-07;boa_esperanca;0;2001-02-08;historico
2001-01-08;boa_esperanca;0.6;2001-02-08;historico
2001-01-09;boa_esperanca;1.1;2001-02-08;historico
2001-01-10;boa_esperanca;0.1;2001-02-08;historico
2001-01-11;boa_esperanca;0.3;2001-02-08;historico
2001-01-12;boa_esperanca;2.3;2001-02-08;historico
2001-01-13;boa_esperanca;12.1;2001-02-08;historico
2001-01-14;boa_esperanca;0.1;2001-02-08;historico
2001-01-15;boa_esperanca;0;2001-02-08;historico
2001-01-16;boa_esperanca;0;2001-02-08;historico
2001-01-17;boa_esperanca;0;2001-02-08;historico
2001-01-18;boa_esperanca;0;2001-02-08;historico
2001-01-19;boa_esperanca;0;2001-02-08;historico
2001-01-20;boa_esperanca;0.5;2001-02-08;historico
2001-01-21;boa_esperanca;2.4;2001-02-08;historico
2001-01-22;boa_esperanca;5.9;2001-02-08;historico
2001-01-23;boa_esperanca;5.1;2001-02-08;historico
2001-01-24;boa_esperanca;7.1;2001-02-08;historico
2001-01-25;boa_esperanca;6.9;2001-02-08;historico
2001-01-26;boa_esperanca;1.9;2001-02-08;historico
2001-01-27;boa_esperanca;1.3;2001-02-08;historico
2001-01-28;boa_esperanca;2.6;2001-02-08;historico
2001-01-29;boa_esperanca;3.8;2001-02-08;historico
2001-01-30;boa_esperanca;2.6;2001-02-08;historico
2001-01-31;boa_esperanca;10;2001-02-08;historico
2001-02-01;boa_esperanca;10.3;2001-02-08;historico
2001-02-02;boa_esperanca;2.6;2001-02-08;historico
2001-02-03;boa_esperanca;6.3;2001-02-08;historico
2001-02-04;boa_esperanca;3.7;2001-02-08;historico
2001-02-05;boa_esperanca;10.7;2001-02-08;historico
2001-02-06;boa_esperanca;0.2;2001-02-08;historico
2001-02-07;boa_esperanca;0.5;2001-02-08;historico
2001-02-08;boa_esperanca;0.9;2001-02-08;historico
2001-02-09;boa_esperanca;0.8;2001-02-08;historico
2001-02-10;boa_esperanca;2.4;2001-02-08;historico
2001-02-11;boa_esperanca;1;2001-02-08;historico
2001-02-12;boa_esperanca;1.4;2001-02-08;historico
2001-02-13;boa_esperanca;1;2001-02-08;historico
2001-02-14;boa_esperanca;1.6;2001-02-08;historico
2001-02-15;boa_esperanca;5.5;2001-02-08;historico
2001-02-16;boa_esperanca;2.8;2001-02-08;historico
2001-02-17;boa_esperanca;11.1;2001-02-08;historico
2001-02-18;boa_esperanca;13.3;2001-02-08;historico
2001-02-19;boa_esperanca;8.3;2001-02-08;historico
2001-02-20;boa_esperanca;5.3;2001-02-08;historico
2001-02-21;boa_esperanca;5.8;2001-02-08;historico
2001-02-22;boa_esperanca;9.5;2001-02-08;historico
2001-02-23;boa_esperanca;1.6;2001-02-08;historico
2001-02-24;boa_esperanca;1.6;2001-02-08;historico
2001-02-25;boa_esperanca;3.6;2001-02-08;historico
2001-02-26;boa_esperanca;3.7;2001-02-08;historico
2001-02-27;boa_esperanca;12;2001-02-08;historico
2001-02-28;boa_esperanca;3.1;2001-02-08;historico
2001-03-01;boa_esperanca;7.2;2001-02-08;historico
2001-03-02;boa_esperanca;3;2001-02-08;historico
2001-03-03;boa_esperanca;0.7;2001-02-08;historico
2001-03-04;boa_esperanca;1;2001-02-08;historico
2001-03-05;boa_esperanca;0.3;2001-02-08;historico
2001-03-06;boa_esperanca;1.8;2001-02-08;historico
2001-03-07;boa_esperanca;4.1;2001-02-08;historico
2001-03-08;boa_esperanca;0.4;2001-02-08;historico
2001-03-09;boa_esperanca;0;2001-02-08;historico
2001-03-10;boa_esperanca;4.5;2001-02-08;historico
2001-03-11;boa_esperanca;17.8;2001-02-08;historico
2001-03-12;boa_esperanca;33.1;2001-02-08;historico
2001-03-13;boa_esperanca;15.2;2001-02-08;historico
2001-03-14;boa_esperanca;29.7;2001-02-08;historico
2001-03-15;boa_esperanca;7.7;2001-02-08;historico
2001-03-16;boa_esperanca;11.4;2001-02-08;historico
2001-03-17;boa_esperanca;6;2001-02-08;historico
2001-03-18;boa_esperanca;1.7;2001-02-08;historico
2001-03-19;boa_esperanca;1.2;2001-02-08;historico
2001-03-20;boa_esperanca;7;2001-02-08;historico
