data;furnas_rio_sapucai
01/01/2022;169.05
02/01/2022;240.78
03/01/2022;313.17
04/01/2022;380.84
05/01/2022;440.68
06/01/2022;495.96
07/01/2022;547.4
08/01/2022;579.53
09/01/2022;588.74
10/01/2022;588.74
11/01/2022;598.09
12/01/2022;608.54
13/01/2022;613.12
14/01/2022;603.19
15/01/2022;576.68
16/01/2022;543.71
17/01/2022;506.88
18/01/2022;465.44
19/01/2022;423.2
20/01/2022;372.26
21/01/2022;322.39
22/01/2022;284.92
23/01/2022;248.27
24/01/2022;214.96
25/01/2022;194.47
26/01/2022;184.48
27/01/2022;178.58
28/01/2022;172.6
29/01/2022;166.94
30/01/2022;180.19
31/01/2022;251.42
01/02/2022;354.75
02/02/2022;426.74
03/02/2022;455.71
04/02/2022;464.99
05/02/2022;475.84
06/02/2022;497.39
07/02/2022;519.01
08/02/2022;540.84
09/02/2022;565.64
10/02/2022;568.73
11/02/2022;554.44
12/02/2022;539.01
13/02/2022;522.03
14/02/2022;504.02
15/02/2022;464.6
16/02/2022;397.66
17/02/2022;342.59
18/02/2022;321.47
19/02/2022;318.41
20/02/2022;307.2
21/02/2022;316.12
22/02/2022;338.42
23/02/2022;325.54
24/02/2022;282.66
25/02/2022;246.99
26/02/2022;232.33
27/02/2022;226.01
28/02/2022;211.46
01/03/2022;193.68
02/03/2022;182.37
03/03/2022;175.96
04/03/2022;171.51
05/03/2022;166.94
06/03/2022;159.76
07/03/2022;154.03
08/03/2022;151.82
09/03/2022;151.32
10/03/2022;149.93
11/03/2022;146.2
12/03/2022;142.89
13/03/2022;144.64
14/03/2022;150.75
15/03/2022;159.46
16/03/2022;171.04
17/03/2022;189.55
18/03/2022;194.41
19/03/2022;175.8
20/03/2022;154.86
21/03/2022;145.7
22/03/2022;153.33
23/03/2022;170.25
24/03/2022;173.15
25/03/2022;156.98
26/03/2022;143.02
27/03/2022;145.07
28/03/2022;152.43
29/03/2022;154.22
30/03/2022;149.56
31/03/2022;147.26
01/04/2022;145.7
02/04/2022;151.19
03/04/2022;158.3
04/04/2022;154.17
05/04/2022;142.02
06/04/2022;134.94
07/04/2022;137.29
08/04/2022;137.66
09/04/2022;132.37
10/04/2022;128.33
11/04/2022;135.22
12/04/2022;142.8
13/04/2022;136.34
14/04/2022;133.93
15/04/2022;140.91
16/04/2022;138.27
17/04/2022;128.3
18/04/2022;122.37
19/04/2022;118.04
20/04/2022;113.53
21/04/2022;110.12
22/04/2022;107.74
23/04/2022;106.36
24/04/2022;104.84
25/04/2022;102.93
26/04/2022;101.04
27/04/2022;99.71
28/04/2022;98.78
29/04/2022;97.86
30/04/2022;96.94
01/05/2022;95.5
02/05/2022;95.8
03/05/2022;99.26
04/05/2022;102.85
05/05/2022;103.48
06/05/2022;105.33
07/05/2022;112.75
08/05/2022;118.11
09/05/2022;113.66
10/05/2022;105.36
11/05/2022;99.96
12/05/2022;97.33
13/05/2022;95.5
14/05/2022;94.22
15/05/2022;92.28
16/05/2022;93.25
17/05/2022;101.29
18/05/2022;109.4
19/05/2022;109.55
20/05/2022;102.9
21/05/2022;95.6
22/05/2022;91.39
23/05/2022;89.27
24/05/2022;88.03
25/05/2022;87.17
