data;avermelha;ssimao2;navanhanda;capivara;manso;ita;irape;candonga;dfranc;smesa;pimentalt;colider;baixoig;sobradinho
01/01/1991;5.609998195;5.376470347;5.681619352;5.766690068;4.090656394;5.703066963;4.060762648;4.355550026;5.922300707;3.959605196;3.214626866;3.526505502;5.972340304;4.384187949
02/01/1991;5.419375946;4.953779919;5.68635885;5.70002678;4.100331955;5.443854026;4.996557473;5.114020859;5.699499785;3.989347539;3.408277156;3.620158824;5.517770547;4.567665791
03/01/1991;4.880498549;4.660454885;4.550525085;4.171388089;4.196586549;4.146089002;4.970487517;5.276812043;5.01263256;4.617385316;4.457555129;4.288311334;4.182147563;4.970793966
04/01/1991;3.465570803;3.389967528;3.408575527;4.417882318;3.989350401;5.374351953;3.896511957;3.145249359;5.451619578;4.038393836;3.997438572;3.832516921;5.711158764;4.639583593
05/01/1991;4.331840574;4.263972931;4.651489711;4.916341369;3.227781171;5.635242369;3.703729115;2.894393797;6.211791283;4.491402348;4.209367787;4.125765591;5.628034438;3.981737294
06/01/1991;4.783481182;4.25250842;5.096948606;5.471081066;4.100276412;5.886318762;3.341758957;3.918902935;6.437904471;3.31081124;3.886835519;3.992798365;5.905727321;3.771313303
07/01/1991;4.957009831;4.815837328;5.277770302;5.45347562;4.567927366;5.837790392;4.334310483;3.863319298;6.20581293;4.446026883;3.263987872;3.761223862;5.961595081;4.298890521
08/01/1991;4.68677042;4.370008378;5.346436696;5.804844613;3.956319759;5.927800804;4.47469207;4.41223984;6.15899871;4.110396359;2.658867431;3.329627024;6.314948749;4.59813015
09/01/1991;4.786186577;4.34768967;4.945057436;5.727592345;4.668934669;6.101364077;4.649721308;3.820274698;6.370242585;4.262660984;4.219498309;4.311274541;6.338932705;4.750820577
10/01/1991;4.307652609;4.240879344;4.382610818;4.58351094;3.958935585;4.854785132;4.58273733;4.301188437;5.231085585;4.628044819;4.303324969;3.955270774;5.529615242;4.700947299
11/01/1991;3.584706973;3.500988314;3.480701588;3.830647994;4.070579138;4.588357998;3.939054778;3.688746564;4.970765427;3.307435257;3.590505155;3.614414017;5.063342242;4.022803127
12/01/1991;3.955531876;3.306522452;4.338598728;4.379353421;3.647717367;5.001509957;2.550002605;2.95762409;5.161264324;2.960478194;3.280866575;3.371605582;5.542928796;3.417698591
13/01/1991;4.229204793;4.058260623;4.445108457;5.621583267;4.106309969;5.707172747;2.841885683;2.838062267;5.247345614;3.022826831;3.151254211;3.613192403;6.005309443;3.099553781
14/01/1991;3.991295037;3.473536786;4.027740864;3.814724426;2.251578511;6.2235844;3.350168687;3.173261904;5.807481954;2.642519134;2.698444495;2.233643444;6.241689966;3.21320966
15/01/1991;2.628482722;2.381257997;3.504731045;4.699213408;3.459554548;5.559722542;2.537361613;2.486945795;6.271527254;2.277238774;3.295362286;3.73836131;6.062771842;3.114581613
16/01/1991;4.739449693;3.811035394;4.966547307;5.541998713;3.191012581;5.56805102;3.16995071;3.346199859;5.388438885;2.746386539;2.94183762;2.759441882;6.356600464;3.580540351
17/01/1991;5.411382403;5.204047358;5.127655559;5.27812598;4.828571241;4.914687451;2.874393796;4.013659328;5.076419332;4.348779444;3.837801355;4.611135367;5.57256406;3.702149663
18/01/1991;5.379098882;5.319916595;5.383210073;5.019621105;5.43235866;5.778982861;3.684439095;2.258970859;6.461790944;4.586679847;3.716967455;4.70411635;6.13269772;4.046410307
19/01/1991;4.908411366;4.732626626;5.258044914;5.491881446;4.954224828;6.015017155;4.377262449;4.243929345;5.885732088;4.224006268;2.983965238;4.254127578;6.22065657;4.502644646
20/01/1991;4.764037281;4.794808716;4.933075676;5.293366253;4.419704771;6.379859012;4.843304703;4.804411621;6.74621073;4.906479338;3.873364591;4.100342227;6.613717571;4.828506641
21/01/1991;4.681504215;5.002812549;5.007839106;5.76211982;4.853656863;6.337566117;4.970641612;4.617740089;5.295066797;5.197730606;4.361224418;4.570009091;6.437566873;4.641137704
22/01/1991;5.013674565;5.055620226;4.9244122;4.559800215;5.093794702;5.555396811;5.375378684;5.260451762;4.972622209;5.295738693;4.128008898;4.870007798;5.442336643;4.970890732
23/01/1991;4.824824454;4.325154167;5.2717117;5.492068042;4.766163538;5.166849917;5.220211688;4.40475541;5.409985729;4.830212252;4.079295993;4.988323505;5.670987298;4.847394352
24/01/1991;4.6782079;4.40439412;4.722570137;4.094996991;4.744517532;4.122330657;4.91910206;4.393929665;3.078685154;4.145088789;4.390535955;4.74419806;3.754400175;4.280351596
25/01/1991;4.216039914;4.281433625;4.258858948;3.670128964;4.804107241;2.314043683;3.967747938;3.42021557;3.377558038;4.009692093;4.150325394;4.728310036;2.477599525;4.273483266
