nome;variavel;valor
avermelha;Ebin;161.12
avermelha;Supin;31.33
avermelha;Tuin;28.01
avermelha;numero_dias_assimilacao;31
baixoig;Ebin;80.58
baixoig;Supin;102.78
baixoig;Tuin;72.52
baixoig;numero_dias_assimilacao;31
dfranc;Ebin;31.74
dfranc;Supin;7.12
dfranc;Tuin;49.62
dfranc;numero_dias_assimilacao;31
candonga;Ebin;108.88
candonga;Supin;156.73
candonga;Tuin;37.12
candonga;numero_dias_assimilacao;31
capivara;Ebin;342.84
capivara;Supin;12.15
capivara;Tuin;29.51
capivara;numero_dias_assimilacao;31
colider;Ebin;444.06
colider;Supin;509.21
colider;Tuin;78.13
colider;numero_dias_assimilacao;31
navanhanda;Ebin;134.02
navanhanda;Supin;8.33
navanhanda;Tuin;29.11
navanhanda;numero_dias_assimilacao;31
irape;Ebin;23.87
irape;Supin;178.65
irape;Tuin;67.04
irape;numero_dias_assimilacao;31
ita;Ebin;59.9
ita;Supin;47.79
ita;Tuin;69.94
ita;numero_dias_assimilacao;31
manso;Ebin;47.97
manso;Supin;45.33
manso;Tuin;51.93
manso;numero_dias_assimilacao;31
pimentalt;Ebin;378.83
pimentalt;Supin;1749.24
pimentalt;Tuin;36.2
pimentalt;numero_dias_assimilacao;31
smesa;Ebin;320.93
smesa;Supin;407.21
smesa;Tuin;22.57
smesa;numero_dias_assimilacao;31
sobradinho;Ebin;541.06
sobradinho;Supin;986.97
sobradinho;Tuin;21.44
sobradinho;numero_dias_assimilacao;31
ssimao2;Ebin;395.24
ssimao2;Supin;266.38
ssimao2;Tuin;33.5
ssimao2;numero_dias_assimilacao;31
