nome;parametro;valor
avermelha;Area;20922
avermelha;nKt;6
avermelha;Kt2;0
avermelha;Kt1;0.36400762
avermelha;Kt0;0.17751249
avermelha;Kt-1;0.134218551
avermelha;Kt-2;0.127924737
avermelha;Kt-3;0.196336603
avermelha;Kt-4;0
avermelha;Kt-5;0
avermelha;Kt-6;0
avermelha;Kt-7;0
avermelha;Kt-8;0
avermelha;Kt-9;0
avermelha;Kt-10;0
avermelha;Kt-11;0
avermelha;Kt-12;0
avermelha;Kt-13;0
avermelha;Kt-14;0
avermelha;Kt-15;0
avermelha;Kt-16;0
avermelha;Kt-17;0
avermelha;Kt-18;0
avermelha;Kt-19;0
avermelha;Kt-20;0
avermelha;Kt-21;0
avermelha;Kt-22;0
avermelha;Kt-23;0
avermelha;Kt-24;0
avermelha;Kt-25;0
avermelha;Kt-26;0
avermelha;Kt-27;0
avermelha;Kt-28;0
avermelha;Kt-29;0
avermelha;Kt-30;0
avermelha;Kt-31;0
avermelha;Kt-32;0
avermelha;Kt-33;0
avermelha;Kt-34;0
avermelha;Kt-35;0
avermelha;Kt-36;0
avermelha;Kt-37;0
avermelha;Kt-38;0
avermelha;Kt-39;0
avermelha;Kt-40;0
avermelha;Kt-41;0
avermelha;Kt-42;0
avermelha;Kt-43;0
avermelha;Kt-44;0
avermelha;Kt-45;0
avermelha;Kt-46;0
avermelha;Kt-47;0
avermelha;Kt-48;0
avermelha;Kt-49;0
avermelha;Kt-50;0
avermelha;Kt-51;0
avermelha;Kt-52;0
avermelha;Kt-53;0
avermelha;Kt-54;0
avermelha;Kt-55;0
avermelha;Kt-56;0
avermelha;Kt-57;0
avermelha;Kt-58;0
avermelha;Kt-59;0
avermelha;Kt-60;0
avermelha;Str;147.0338704
avermelha;K2t;7.934459215
avermelha;Crec;8.456984908
avermelha;Ai;0
avermelha;Capc;19.8304138
avermelha;K_kt;148.6349125
avermelha;K2t2;10
avermelha;H1;200
avermelha;H;200
avermelha;K3t;10
avermelha;K1t;10
avermelha;Ecof;1.2
avermelha;Pcof;1
avermelha;Ecof2;0.8
avermelha;ktMin;3
avermelha;ktMax;1
ssimao2;Area;46225
ssimao2;nKt;6
ssimao2;Kt2;0
ssimao2;Kt1;0.547001722
ssimao2;Kt0;0.42954027
ssimao2;Kt-1;0.023458008
ssimao2;Kt-2;0
ssimao2;Kt-3;0
ssimao2;Kt-4;0
ssimao2;Kt-5;0
ssimao2;Kt-6;0
ssimao2;Kt-7;0
ssimao2;Kt-8;0
ssimao2;Kt-9;0
ssimao2;Kt-10;0
ssimao2;Kt-11;0
ssimao2;Kt-12;0
ssimao2;Kt-13;0
ssimao2;Kt-14;0
ssimao2;Kt-15;0
ssimao2;Kt-16;0
ssimao2;Kt-17;0
ssimao2;Kt-18;0
ssimao2;Kt-19;0
ssimao2;Kt-20;0
ssimao2;Kt-21;0
ssimao2;Kt-22;0
ssimao2;Kt-23;0
ssimao2;Kt-24;0
ssimao2;Kt-25;0
ssimao2;Kt-26;0
ssimao2;Kt-27;0
ssimao2;Kt-28;0
ssimao2;Kt-29;0
ssimao2;Kt-30;0
ssimao2;Kt-31;0
ssimao2;Kt-32;0
ssimao2;Kt-33;0
ssimao2;Kt-34;0
ssimao2;Kt-35;0
ssimao2;Kt-36;0
ssimao2;Kt-37;0
ssimao2;Kt-38;0
ssimao2;Kt-39;0
ssimao2;Kt-40;0
ssimao2;Kt-41;0
ssimao2;Kt-42;0
ssimao2;Kt-43;0
ssimao2;Kt-44;0
ssimao2;Kt-45;0
ssimao2;Kt-46;0
ssimao2;Kt-47;0
ssimao2;Kt-48;0
ssimao2;Kt-49;0
ssimao2;Kt-50;0
ssimao2;Kt-51;0
ssimao2;Kt-52;0
ssimao2;Kt-53;0
ssimao2;Kt-54;0
ssimao2;Kt-55;0
ssimao2;Kt-56;0
ssimao2;Kt-57;0
ssimao2;Kt-58;0
ssimao2;Kt-59;0
ssimao2;Kt-60;0
ssimao2;Str;60.08886176
ssimao2;K2t;5.291186433
ssimao2;Crec;99.99495308
ssimao2;Ai;0
ssimao2;Capc;1.885160205
ssimao2;K_kt;133.0493398
ssimao2;K2t2;10
ssimao2;H1;200
ssimao2;H;200
ssimao2;K3t;10
ssimao2;K1t;10
ssimao2;Ecof;0.742383929
ssimao2;Pcof;0.663558424
ssimao2;Ecof2;0.8
ssimao2;ktMin;1
ssimao2;ktMax;1
navanhanda;Area;17804
navanhanda;nKt;6
navanhanda;Kt2;0.419442093
navanhanda;Kt1;0.399987064
navanhanda;Kt0;0.153183333
navanhanda;Kt-1;0.026304783
navanhanda;Kt-2;0.001082638
navanhanda;Kt-3;9.01E-08
navanhanda;Kt-4;0
navanhanda;Kt-5;0
navanhanda;Kt-6;0
navanhanda;Kt-7;0
navanhanda;Kt-8;0
navanhanda;Kt-9;0
navanhanda;Kt-10;0
navanhanda;Kt-11;0
navanhanda;Kt-12;0
navanhanda;Kt-13;0
navanhanda;Kt-14;0
navanhanda;Kt-15;0
navanhanda;Kt-16;0
navanhanda;Kt-17;0
navanhanda;Kt-18;0
navanhanda;Kt-19;0
navanhanda;Kt-20;0
navanhanda;Kt-21;0
navanhanda;Kt-22;0
navanhanda;Kt-23;0
navanhanda;Kt-24;0
navanhanda;Kt-25;0
navanhanda;Kt-26;0
navanhanda;Kt-27;0
navanhanda;Kt-28;0
navanhanda;Kt-29;0
navanhanda;Kt-30;0
navanhanda;Kt-31;0
navanhanda;Kt-32;0
