Nome;parametro;valor
avermelha;Area;20922
baixoig;Area;22543
candonga;Area;8900
capivara;Area;28039
colider;Area;41508
dfranc;Area;5087
irape;Area;15880
ita;Area;12185
manso;Area;9347
navanhanda;Area;17804
pimentalt;Area;447719
smesa;Area;51223
sobradinho;Area;444688
ssimao2;Area;46255
avermelha;nKt;5
baixoig;nKt;4
candonga;nKt;6
capivara;nKt;5
colider;nKt;14
dfranc;nKt;6
irape;nKt;6
ita;nKt;6
manso;nKt;3
navanhanda;nKt;6
pimentalt;nKt;63
smesa;nKt;6
sobradinho;nKt;43
ssimao2;nKt;6
avermelha;Kt2;0
baixoig;Kt2;0.289
candonga;Kt2;0.094
capivara;Kt2;0
colider;Kt2;0
dfranc;Kt2;0.108
irape;Kt2;0.294
ita;Kt2;0
manso;Kt2;0
navanhanda;Kt2;0.401
pimentalt;Kt2;0.011
smesa;Kt2;0
sobradinho;Kt2;0.006
ssimao2;Kt2;0
avermelha;Kt1;0.2
baixoig;Kt1;0.561
candonga;Kt1;0.199
capivara;Kt1;0.229
colider;Kt1;0
dfranc;Kt1;0.485
irape;Kt1;0.294
ita;Kt1;0.33
manso;Kt1;0.479
navanhanda;Kt1;0.511
pimentalt;Kt1;0.012
smesa;Kt1;0.354
sobradinho;Kt1;0.009
ssimao2;Kt1;0.771
avermelha;Kt0;0.25
baixoig;Kt0;0.108
candonga;Kt0;0.357
capivara;Kt0;0.327
colider;Kt0;0.055
dfranc;Kt0;0.281
irape;Kt0;0.172
ita;Kt0;0.41
manso;Kt0;0.521
navanhanda;Kt0;0.075
pimentalt;Kt0;0.015
smesa;Kt0;0.281
sobradinho;Kt0;0.01
ssimao2;Kt0;0.058
avermelha;Kt-1;0.3
baixoig;Kt-1;0.042
candonga;Kt-1;0.295
capivara;Kt-1;0.369
colider;Kt-1;0.178
dfranc;Kt-1;0.042
irape;Kt-1;0.08
ita;Kt-1;0.176
manso;Kt-1;0
navanhanda;Kt-1;0.004
pimentalt;Kt-1;0.016
smesa;Kt-1;0.266
sobradinho;Kt-1;0.01
ssimao2;Kt-1;0.057
avermelha;Kt-2;0.25
baixoig;Kt-2;0
candonga;Kt-2;0.028
capivara;Kt-2;0.075
colider;Kt-2;0.176
dfranc;Kt-2;0.042
irape;Kt-2;0.08
ita;Kt-2;0.042
manso;Kt-2;0
navanhanda;Kt-2;0.004
pimentalt;Kt-2;0.019
smesa;Kt-2;0.05
sobradinho;Kt-2;0.01
ssimao2;Kt-2;0.057
avermelha;Kt-3;0
baixoig;Kt-3;0
candonga;Kt-3;0.027
capivara;Kt-3;0
colider;Kt-3;0.069
dfranc;Kt-3;0.042
irape;Kt-3;0.08
ita;Kt-3;0.042
manso;Kt-3;0
navanhanda;Kt-3;0.004
pimentalt;Kt-3;0.02
smesa;Kt-3;0.049
sobradinho;Kt-3;0.011
ssimao2;Kt-3;0.057
avermelha;Kt-4;0
baixoig;Kt-4;0
candonga;Kt-4;0
capivara;Kt-4;0
colider;Kt-4;0.069
dfranc;Kt-4;0
irape;Kt-4;0
ita;Kt-4;0
manso;Kt-4;0
navanhanda;Kt-4;0
pimentalt;Kt-4;0.021
smesa;Kt-4;0
sobradinho;Kt-4;0.011
ssimao2;Kt-4;0
avermelha;Kt-5;0
baixoig;Kt-5;0
candonga;Kt-5;0
capivara;Kt-5;0
colider;Kt-5;0.069
dfranc;Kt-5;0
irape;Kt-5;0
ita;Kt-5;0
manso;Kt-5;0
navanhanda;Kt-5;0
pimentalt;Kt-5;0.022
smesa;Kt-5;0
sobradinho;Kt-5;0.012
ssimao2;Kt-5;0
avermelha;Kt-6;0
baixoig;Kt-6;0
candonga;Kt-6;0
capivara;Kt-6;0
colider;Kt-6;0.068
dfranc;Kt-6;0
irape;Kt-6;0
ita;Kt-6;0
manso;Kt-6;0
navanhanda;Kt-6;0
pimentalt;Kt-6;0.023
smesa;Kt-6;0
sobradinho;Kt-6;0.014
ssimao2;Kt-6;0
avermelha;Kt-7;0
baixoig;Kt-7;0
candonga;Kt-7;0
capivara;Kt-7;0
colider;Kt-7;0.068
dfranc;Kt-7;0
irape;Kt-7;0
ita;Kt-7;0
manso;Kt-7;0
navanhanda;Kt-7;0
pimentalt;Kt-7;0.023
smesa;Kt-7;0
sobradinho;Kt-7;0.017
ssimao2;Kt-7;0
avermelha;Kt-8;0
baixoig;Kt-8;0
candonga;Kt-8;0
capivara;Kt-8;0
colider;Kt-8;0.068
dfranc;Kt-8;0
irape;Kt-8;0
ita;Kt-8;0
manso;Kt-8;0
navanhanda;Kt-8;0
pimentalt;Kt-8;0.024
smesa;Kt-8;0
sobradinho;Kt-8;0.018
ssimao2;Kt-8;0
avermelha;Kt-9;0
baixoig;Kt-9;0
candonga;Kt-9;0
capivara;Kt-9;0
colider;Kt-9;0.068
dfranc;Kt-9;0
irape;Kt-9;0
ita;Kt-9;0
manso;Kt-9;0
navanhanda;Kt-9;0
pimentalt;Kt-9;0.024
smesa;Kt-9;0
sobradinho;Kt-9;0.026
ssimao2;Kt-9;0
avermelha;Kt-10;0
baixoig;Kt-10;0
candonga;Kt-10;0
capivara;Kt-10;0
colider;Kt-10;0.068
dfranc;Kt-10;0
irape;Kt-10;0
ita;Kt-10;0
manso;Kt-10;0
navanhanda;Kt-10;0
pimentalt;Kt-10;0.024
smesa;Kt-10;0
sobradinho;Kt-10;0.07
ssimao2;Kt-10;0
avermelha;Kt-11;0
baixoig;Kt-11;0
candonga;Kt-11;0
capivara;Kt-11;0
colider;Kt-11;0.044
dfranc;Kt-11;0
irape;Kt-11;0
ita;Kt-11;0
manso;Kt-11;0
navanhanda;Kt-11;0
pimentalt;Kt-11;0.025
smesa;Kt-11;0
sobradinho;Kt-11;0.094
ssimao2;Kt-11;0
avermelha;Kt-12;0
baixoig;Kt-12;0
candonga;Kt-12;0
capivara;Kt-12;0
colider;Kt-12;0
dfranc;Kt-12;0
irape;Kt-12;0
ita;Kt-12;0
manso;Kt-12;0
navanhanda;Kt-12;0
pimentalt;Kt-12;0.025
smesa;Kt-12;0
sobradinho;Kt-12;0.086
ssimao2;Kt-12;0
