Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 090.93 000120.45 000834.43 000954.88
24/01/2023 088.07 000123.01 000790.08 000913.09
25/01/2023 083.99 000125.14 000744.47 000869.62
26/01/2023 079.74 000126.71 000703.74 000830.45
27/01/2023 075.51 000127.73 000667.03 000794.76
28/01/2023 072.14 000128.26 000633.44 000761.71
29/01/2023 069.45 000128.43 000602.36 000730.79
30/01/2023 067.55 000128.34 000573.51 000701.85
31/01/2023 065.97 000128.07 000546.50 000674.56
01/02/2023 065.37 000127.66 000522.09 000649.75
02/02/2023 066.95 000127.20 000503.74 000630.94
03/02/2023 073.96 000126.88 000519.51 000646.39
04/02/2023 079.25 000127.25 000536.08 000663.33
05/02/2023 084.26 000128.21 000574.68 000702.90
06/02/2023 087.15 000129.79 000609.30 000739.09
07/02/2023 088.16 000131.75 000627.12 000758.87
08/02/2023 088.37 000133.84 000636.00 000769.84
09/02/2023 088.93 000135.94 000654.96 000790.90
10/02/2023 089.65 000138.10 000685.46 000823.56
11/02/2023 090.23 000140.35 000722.90 000863.25
12/02/2023 090.62 000142.67 000764.07 000906.74
13/02/2023 090.55 000145.04 000791.98 000937.02
14/02/2023 091.13 000147.37 000849.78 000997.15
15/02/2023 091.00 000149.78 000883.39 001033.17
16/02/2023 091.40 000152.15 000942.49 001094.64
17/02/2023 091.31 000154.56 000982.58 001137.13
18/02/2023 091.25 000156.94 001019.06 001175.99
19/02/2023 090.09 000159.29 001007.82 001167.11
20/02/2023 090.19 000161.46 001020.06 001181.52
21/02/2023 090.11 000163.63 001027.11 001190.74
22/02/2023 090.62 000165.78 001056.71 001222.49
