Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 030.47 000539.84 002066.48 002606.32
24/01/2023 025.70 000565.02 001963.97 002528.99
25/01/2023 022.65 000579.25 001858.36 002437.60
26/01/2023 021.35 000587.65 001766.38 002354.03
27/01/2023 022.25 000593.81 001706.52 002300.32
28/01/2023 020.02 000601.38 001613.55 002214.93
29/01/2023 018.59 000605.39 001527.57 002132.96
30/01/2023 029.38 000607.36 001701.87 002309.23
31/01/2023 023.69 000629.26 001608.56 002237.82
01/02/2023 032.46 000639.01 001789.93 002428.94
02/02/2023 025.17 000668.38 001697.73 002366.11
03/02/2023 027.20 000680.57 001708.44 002389.01
04/02/2023 022.53 000696.83 001618.35 002315.17
05/02/2023 033.09 000703.88 001861.54 002565.42
06/02/2023 025.45 000734.32 001763.97 002498.29
07/02/2023 021.52 000746.42 001667.89 002414.31
08/02/2023 019.04 000751.33 001576.93 002328.26
09/02/2023 017.32 000752.51 001491.84 002244.35
10/02/2023 015.70 000751.47 001394.12 002145.60
11/02/2023 014.46 000748.63 001302.31 002050.94
12/02/2023 013.49 000744.60 001217.63 001962.23
13/02/2023 012.69 000739.76 001138.13 001877.88
14/02/2023 011.95 000734.33 001060.40 001794.73
15/02/2023 011.37 000728.43 000990.74 001719.17
16/02/2023 010.86 000722.21 000925.22 001647.43
17/02/2023 010.44 000715.74 000865.64 001581.38
18/02/2023 010.01 000709.11 000807.14 001516.25
19/02/2023 009.69 000702.32 000756.57 001458.89
20/02/2023 009.41 000695.59 000711.49 001407.08
21/02/2023 009.08 000688.92 000666.40 001355.32
22/02/2023 008.78 000682.32 000626.02 001308.35
