Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 084.20 001648.18 003537.72 005185.90
24/01/2023 084.15 001645.40 003549.29 005194.69
25/01/2023 083.96 001642.64 003565.40 005208.04
26/01/2023 083.81 001639.83 003578.58 005218.41
27/01/2023 083.71 001636.98 003592.01 005229.00
28/01/2023 083.67 001634.13 003606.94 005241.06
29/01/2023 083.69 001631.29 003623.91 005255.20
30/01/2023 083.90 001628.49 003647.92 005276.40
31/01/2023 084.87 001625.80 003706.17 005331.97
01/02/2023 085.48 001623.55 003781.97 005405.51
02/02/2023 085.57 001621.57 003848.06 005469.64
03/02/2023 085.73 001619.66 003912.37 005532.03
04/02/2023 086.53 001617.84 004011.68 005629.52
05/02/2023 086.32 001616.37 004096.43 005712.81
06/02/2023 085.55 001614.83 004125.06 005739.89
07/02/2023 086.32 001612.99 004190.81 005803.79
08/02/2023 085.60 001611.49 004243.39 005854.87
09/02/2023 085.17 001609.69 004257.78 005867.47
10/02/2023 084.39 001607.74 004258.03 005865.76
11/02/2023 083.97 001605.48 004253.65 005859.13
12/02/2023 083.18 001603.07 004241.12 005844.19
13/02/2023 082.77 001600.37 004226.07 005826.43
14/02/2023 082.12 001597.52 004208.07 005805.59
15/02/2023 081.62 001594.44 004185.94 005780.39
16/02/2023 080.99 001591.20 004146.26 005737.46
17/02/2023 080.52 001587.74 004124.71 005712.45
18/02/2023 080.00 001584.13 004074.52 005658.65
19/02/2023 080.39 001580.36 004097.34 005677.69
20/02/2023 080.37 001576.78 004092.00 005668.77
21/02/2023 081.83 001573.23 004127.20 005700.43
22/02/2023 081.97 001570.29 004163.21 005733.50
