Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 086.42 000565.81 000712.01 001277.82
24/01/2023 086.60 000570.27 000724.94 001295.21
25/01/2023 086.38 000574.74 000719.27 001294.01
26/01/2023 087.38 000579.14 000765.68 001344.82
27/01/2023 088.36 000583.71 000807.19 001390.89
28/01/2023 089.11 000588.43 000837.60 001426.04
29/01/2023 088.85 000593.28 000812.70 001405.97
30/01/2023 089.02 000598.04 000816.39 001414.44
31/01/2023 089.16 000602.82 000820.17 001422.99
01/02/2023 089.42 000607.60 000832.87 001440.47
02/02/2023 089.86 000612.40 000865.77 001478.17
03/02/2023 090.57 000617.26 000926.21 001543.47
04/02/2023 090.71 000622.22 000942.89 001565.11
05/02/2023 090.65 000627.19 000945.43 001572.63
06/02/2023 089.99 000632.13 000907.63 001539.76
07/02/2023 090.02 000636.91 000916.17 001553.08
08/02/2023 089.79 000641.67 000906.29 001547.95
09/02/2023 089.22 000646.36 000877.80 001524.16
10/02/2023 089.13 000650.91 000875.36 001526.28
11/02/2023 088.14 000655.43 000831.64 001487.06
12/02/2023 087.19 000659.73 000794.27 001454.00
13/02/2023 086.13 000663.83 000757.37 001421.20
14/02/2023 085.06 000667.72 000719.96 001387.67
15/02/2023 084.17 000671.39 000682.92 001354.31
16/02/2023 083.73 000674.88 000658.58 001333.45
17/02/2023 084.94 000678.27 000707.69 001385.96
18/02/2023 085.58 000681.86 000729.56 001411.42
19/02/2023 086.36 000685.55 000754.11 001439.66
20/02/2023 087.14 000689.36 000777.30 001466.66
21/02/2023 088.06 000693.30 000809.87 001503.17
22/02/2023 088.98 000697.38 000848.38 001545.76
