Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 087.59 000080.54 000288.53 000369.07
24/01/2023 087.48 000082.96 000284.06 000367.03
25/01/2023 087.06 000085.35 000275.21 000360.56
26/01/2023 087.23 000087.68 000275.09 000362.76
27/01/2023 088.13 000090.01 000291.65 000381.66
28/01/2023 089.46 000092.45 000326.45 000418.90
29/01/2023 090.22 000095.07 000348.95 000444.02
30/01/2023 089.09 000097.78 000331.10 000428.88
31/01/2023 088.92 000100.31 000326.62 000426.93
01/02/2023 089.48 000102.81 000338.95 000441.76
02/02/2023 089.69 000105.38 000346.18 000451.56
03/02/2023 089.30 000107.96 000339.98 000447.94
04/02/2023 087.83 000110.47 000319.67 000430.14
05/02/2023 086.67 000112.77 000302.08 000414.85
06/02/2023 085.51 000114.90 000284.87 000399.77
07/02/2023 084.50 000116.86 000269.20 000386.07
08/02/2023 082.99 000118.69 000251.72 000370.41
09/02/2023 081.52 000120.32 000235.27 000355.58
10/02/2023 081.60 000121.75 000229.01 000350.77
11/02/2023 081.71 000123.19 000223.47 000346.66
12/02/2023 081.72 000124.64 000217.49 000342.12
13/02/2023 080.17 000126.08 000203.05 000329.12
14/02/2023 080.47 000127.32 000199.73 000327.06
15/02/2023 079.08 000128.60 000186.61 000315.21
16/02/2023 079.78 000129.70 000187.44 000317.15
17/02/2023 078.39 000130.89 000175.08 000305.97
18/02/2023 078.08 000131.90 000167.71 000299.61
19/02/2023 079.02 000132.88 000171.27 000304.14
20/02/2023 083.10 000133.95 000247.36 000381.31
21/02/2023 085.75 000135.52 000297.63 000433.14
22/02/2023 087.92 000137.41 000347.52 000484.93
