Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 072.20 000051.08 000148.29 000199.37
24/01/2023 070.97 000053.42 000141.39 000194.82
25/01/2023 069.74 000055.62 000134.77 000190.38
26/01/2023 069.98 000057.66 000130.29 000187.95
27/01/2023 070.94 000059.70 000127.54 000187.25
28/01/2023 072.43 000061.80 000126.58 000188.38
29/01/2023 082.05 000064.00 000197.21 000261.21
30/01/2023 089.34 000067.13 000301.68 000368.82
31/01/2023 089.73 000071.04 000305.39 000376.43
01/02/2023 089.40 000074.93 000302.29 000377.22
02/02/2023 087.92 000078.72 000292.38 000371.09
03/02/2023 086.76 000082.28 000283.25 000365.53
04/02/2023 085.97 000085.66 000275.34 000360.99
05/02/2023 085.56 000088.89 000269.12 000358.01
06/02/2023 086.12 000092.03 000269.01 000361.03
07/02/2023 087.35 000095.18 000276.31 000371.49
08/02/2023 087.78 000098.43 000278.48 000376.90
09/02/2023 087.78 000101.67 000277.60 000379.27
10/02/2023 088.13 000104.87 000279.95 000384.82
11/02/2023 088.03 000108.05 000278.93 000386.99
12/02/2023 087.57 000111.18 000274.86 000386.04
13/02/2023 086.81 000114.21 000268.41 000382.62
14/02/2023 086.19 000117.10 000262.22 000379.32
15/02/2023 084.96 000119.88 000253.06 000372.94
16/02/2023 083.05 000122.48 000241.83 000364.31
17/02/2023 081.30 000124.82 000231.08 000355.90
18/02/2023 081.06 000126.95 000224.44 000351.38
19/02/2023 080.59 000129.01 000217.25 000346.26
20/02/2023 079.99 000131.00 000209.87 000340.87
21/02/2023 086.66 000132.89 000276.78 000409.67
22/02/2023 090.09 000135.48 000326.77 000462.25
