Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 019.97 000536.26 000659.33 001195.59
24/01/2023 017.76 000543.52 000546.74 001090.26
25/01/2023 018.07 000546.50 000503.10 001049.60
26/01/2023 020.92 000549.99 000539.48 001089.47
27/01/2023 022.25 000559.08 000551.93 001111.01
28/01/2023 019.47 000571.10 000474.04 001045.14
29/01/2023 017.42 000576.93 000399.88 000976.81
30/01/2023 015.91 000578.93 000337.66 000916.59
31/01/2023 014.79 000578.48 000289.71 000868.19
01/02/2023 013.89 000576.46 000249.67 000826.13
02/02/2023 013.12 000573.31 000217.16 000790.47
03/02/2023 012.44 000569.30 000186.39 000755.70
04/02/2023 015.55 000564.61 000261.44 000826.06
05/02/2023 020.40 000563.81 000402.61 000966.42
06/02/2023 022.70 000571.63 000479.18 001050.81
07/02/2023 024.16 000584.58 000542.54 001127.12
08/02/2023 024.54 000601.06 000576.78 001177.84
09/02/2023 021.92 000618.33 000524.08 001142.42
10/02/2023 018.68 000628.87 000425.02 001053.88
11/02/2023 016.52 000632.49 000346.08 000978.57
12/02/2023 015.30 000632.36 000303.43 000935.79
13/02/2023 013.89 000630.39 000243.35 000873.74
14/02/2023 014.78 000626.60 000260.23 000886.83
15/02/2023 014.32 000623.98 000251.91 000875.89
16/02/2023 019.66 000620.80 000401.22 001022.02
17/02/2023 024.75 000626.43 000580.40 001206.83
18/02/2023 029.03 000643.97 000794.16 001438.14
19/02/2023 031.26 000674.12 000978.35 001652.47
20/02/2023 031.97 000711.62 001113.61 001825.23
21/02/2023 030.73 000751.22 001138.53 001889.75
22/02/2023 028.81 000785.89 001092.03 001877.92
