Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 065.58 000424.52 000932.48 001356.99
24/01/2023 069.12 000454.61 001053.02 001507.63
25/01/2023 065.67 000494.97 000954.96 001449.93
26/01/2023 064.89 000524.25 000866.84 001391.09
27/01/2023 062.60 000550.84 000642.27 001193.11
28/01/2023 058.47 000570.65 000382.57 000953.23
29/01/2023 055.68 000579.66 000215.90 000795.57
30/01/2023 053.76 000582.12 000108.02 000690.14
31/01/2023 052.39 000580.46 000067.40 000647.86
01/02/2023 054.47 000576.08 000137.82 000713.90
02/02/2023 059.02 000575.99 000411.08 000987.07
03/02/2023 063.42 000586.24 000766.62 001352.86
04/02/2023 068.48 000607.74 000907.42 001515.16
05/02/2023 065.19 000643.76 000825.61 001469.37
06/02/2023 065.42 000669.37 000849.65 001519.01
07/02/2023 070.13 000695.24 000968.26 001663.50
08/02/2023 065.54 000735.16 000877.41 001612.57
09/02/2023 069.59 000760.38 001033.99 001794.36
10/02/2023 068.18 000797.56 001050.92 001848.48
11/02/2023 070.93 000829.76 001152.03 001981.79
12/02/2023 066.88 000870.24 001124.00 001994.24
13/02/2023 070.05 000897.36 001181.55 002078.91
14/02/2023 066.15 000933.92 001096.47 002030.40
15/02/2023 068.54 000957.90 001145.30 002103.20
16/02/2023 070.33 000988.76 001218.85 002207.61
17/02/2023 071.40 001024.84 001323.64 002348.49
18/02/2023 069.20 001063.90 001325.64 002389.54
19/02/2023 069.94 001095.19 001340.18 002435.37
20/02/2023 072.31 001128.40 001473.88 002602.28
21/02/2023 066.87 001168.92 001390.93 002559.86
22/02/2023 066.47 001191.45 001326.28 002517.73
