Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 097.07 000345.94 004698.32 005044.26
24/01/2023 097.48 000357.26 004898.51 005255.77
25/01/2023 097.30 000368.68 005049.01 005417.70
26/01/2023 097.27 000379.94 005073.34 005453.28
27/01/2023 097.12 000391.09 005112.75 005503.84
28/01/2023 097.02 000402.09 005122.37 005524.46
29/01/2023 096.98 000412.97 005130.33 005543.30
30/01/2023 096.94 000423.75 005140.28 005564.03
31/01/2023 096.93 000434.42 005146.21 005580.62
01/02/2023 097.42 000445.00 005157.65 005602.65
02/02/2023 097.40 000455.72 005306.08 005761.81
03/02/2023 097.37 000466.35 005454.51 005920.86
04/02/2023 097.17 000476.89 005593.02 006069.91
05/02/2023 097.13 000487.26 005648.99 006136.25
06/02/2023 097.02 000497.53 005718.96 006216.49
07/02/2023 097.09 000507.67 005764.29 006271.97
08/02/2023 097.29 000517.77 005844.27 006362.04
09/02/2023 097.33 000527.88 006000.09 006527.97
10/02/2023 097.21 000537.92 006132.47 006670.40
11/02/2023 097.32 000547.84 006203.30 006751.14
12/02/2023 097.34 000557.73 006345.33 006903.05
13/02/2023 097.20 000567.55 006472.24 007039.79
14/02/2023 096.94 000577.23 006534.76 007112.00
15/02/2023 096.80 000586.73 006543.95 007130.68
16/02/2023 096.75 000596.09 006552.28 007148.37
17/02/2023 096.81 000605.36 006567.21 007172.57
18/02/2023 096.88 000614.58 006600.22 007214.80
19/02/2023 096.89 000623.77 006641.36 007265.13
20/02/2023 097.22 000632.88 006677.98 007310.86
21/02/2023 097.24 000642.08 006827.81 007469.88
22/02/2023 097.55 000651.21 006928.08 007579.29
