Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 019.24 000021.79 000009.16 000030.95
24/01/2023 018.45 000021.85 000008.40 000030.24
25/01/2023 020.37 000021.90 000008.57 000030.46
26/01/2023 020.04 000021.97 000008.08 000030.05
27/01/2023 024.91 000022.05 000010.65 000032.70
28/01/2023 026.81 000022.21 000012.08 000034.28
29/01/2023 025.45 000022.41 000011.81 000034.22
30/01/2023 024.39 000022.58 000011.43 000034.00
31/01/2023 025.98 000022.72 000012.37 000035.09
01/02/2023 022.70 000022.90 000011.25 000034.15
02/02/2023 020.90 000023.02 000010.30 000033.32
03/02/2023 023.74 000023.10 000011.29 000034.40
04/02/2023 021.39 000023.24 000010.30 000033.54
05/02/2023 026.18 000023.33 000013.06 000036.39
06/02/2023 023.24 000023.51 000011.98 000035.50
07/02/2023 022.85 000023.64 000011.49 000035.12
08/02/2023 023.59 000023.75 000011.51 000035.27
09/02/2023 023.25 000023.88 000011.15 000035.03
10/02/2023 023.20 000024.01 000010.90 000034.91
11/02/2023 024.48 000024.13 000011.38 000035.51
12/02/2023 024.31 000024.28 000011.28 000035.56
13/02/2023 025.04 000024.42 000011.67 000036.09
14/02/2023 026.37 000024.58 000012.63 000037.21
15/02/2023 024.96 000024.77 000012.20 000036.97
16/02/2023 022.08 000024.92 000011.10 000036.02
17/02/2023 022.41 000025.03 000010.82 000035.85
18/02/2023 020.09 000025.13 000009.79 000034.92
19/02/2023 018.02 000025.20 000008.78 000033.98
20/02/2023 018.23 000025.24 000008.23 000033.47
21/02/2023 019.58 000025.28 000008.16 000033.44
22/02/2023 020.85 000025.34 000008.24 000033.57
