Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 082.96 004866.26 007920.82 012787.09
24/01/2023 082.61 004902.02 007375.99 012278.00
25/01/2023 082.10 004935.98 006787.99 011723.97
26/01/2023 081.49 004967.61 006209.25 011176.86
27/01/2023 081.02 004996.58 005791.48 010788.06
28/01/2023 080.83 005023.42 005628.82 010652.23
29/01/2023 080.41 005049.25 005315.88 010365.13
30/01/2023 080.07 005073.22 005089.74 010162.96
31/01/2023 079.76 005095.66 004902.43 009998.09
01/02/2023 079.47 005116.68 004749.87 009866.55
02/02/2023 079.02 005136.42 004633.78 009770.20
03/02/2023 078.88 005154.27 004718.72 009873.00
04/02/2023 079.36 005171.43 005257.53 010428.96
05/02/2023 080.16 005190.14 006043.75 011233.89
06/02/2023 081.36 005211.57 007253.63 012465.20
07/02/2023 082.92 005237.24 008594.25 013831.49
08/02/2023 084.79 005268.56 010029.38 015297.94
09/02/2023 086.49 005306.91 011193.05 016499.95
10/02/2023 087.83 005351.73 011968.94 017320.67
11/02/2023 088.83 005401.63 012461.07 017862.71
12/02/2023 089.50 005455.19 012681.71 018136.89
13/02/2023 089.86 005511.02 012573.99 018085.01
14/02/2023 090.04 005567.75 012396.89 017964.64
15/02/2023 090.13 005624.64 012240.61 017865.25
16/02/2023 090.26 005681.28 012299.08 017980.36
17/02/2023 090.37 005737.83 012373.51 018111.34
18/02/2023 090.54 005794.21 012645.79 018440.00
19/02/2023 090.77 005850.70 013050.99 018901.69
20/02/2023 091.02 005907.53 013534.73 019442.26
21/02/2023 091.17 005964.80 013773.60 019738.39
22/02/2023 091.27 006022.10 013896.93 019919.03
