Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 077.38 000887.98 003047.90 003935.88
24/01/2023 079.29 000904.30 003299.84 004204.14
25/01/2023 076.41 000921.85 002882.18 003804.03
26/01/2023 074.83 000937.07 002582.72 003519.79
27/01/2023 079.69 000950.95 003693.72 004644.67
28/01/2023 079.65 000968.27 003528.68 004496.95
29/01/2023 079.09 000985.36 003301.69 004287.05
30/01/2023 077.95 001001.82 003022.29 004024.11
31/01/2023 077.81 001017.24 002890.89 003908.13
01/02/2023 074.50 001032.36 002516.91 003549.27
02/02/2023 073.20 001044.90 002279.46 003324.36
03/02/2023 070.68 001056.38 001993.33 003049.71
04/02/2023 069.55 001065.99 001816.04 002882.03
05/02/2023 068.35 001074.74 001649.19 002723.93
06/02/2023 067.23 001082.60 001505.45 002588.05
07/02/2023 066.01 001089.66 001366.69 002456.35
08/02/2023 065.01 001095.86 001257.79 002353.64
09/02/2023 063.08 001101.36 001107.75 002209.12
10/02/2023 061.32 001105.64 000979.61 002085.24
11/02/2023 058.96 001108.83 000853.28 001962.11
12/02/2023 056.50 001110.66 000742.82 001853.48
13/02/2023 054.32 001111.14 000646.81 001757.94
14/02/2023 052.82 001110.48 000572.85 001683.34
15/02/2023 051.20 001109.09 000503.63 001612.72
16/02/2023 051.67 001106.94 000544.48 001651.42
17/02/2023 053.20 001105.03 000650.83 001755.86
18/02/2023 054.37 001103.88 000725.64 001829.53
19/02/2023 055.80 001103.34 000816.84 001920.18
20/02/2023 058.64 001103.54 001039.72 002143.25
21/02/2023 059.70 001105.25 001086.87 002192.12
22/02/2023 060.55 001107.52 001118.35 002225.87
