Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 075.35 004532.67 007370.83 011903.51
24/01/2023 074.69 004527.23 007476.22 012003.44
25/01/2023 074.10 004520.92 007540.37 012061.30
26/01/2023 073.57 004513.87 007572.16 012086.03
27/01/2023 073.68 004506.18 007640.89 012147.07
28/01/2023 074.36 004498.73 007764.24 012262.97
29/01/2023 073.79 004492.31 007751.96 012244.27
30/01/2023 074.44 004485.18 007853.91 012339.09
31/01/2023 073.89 004479.04 007828.37 012307.40
01/02/2023 074.50 004472.20 007914.74 012386.94
02/02/2023 074.17 004466.30 007965.25 012431.55
03/02/2023 074.50 004460.01 008086.33 012546.34
04/02/2023 074.28 004454.25 008140.91 012595.17
05/02/2023 075.27 004448.26 008353.77 012802.03
06/02/2023 075.26 004443.73 008452.41 012896.13
07/02/2023 075.57 004439.23 008590.24 013029.47
08/02/2023 075.20 004435.22 008639.25 013074.47
09/02/2023 074.92 004430.74 008683.48 013114.21
10/02/2023 074.93 004425.92 008752.92 013178.84
11/02/2023 075.31 004421.18 008869.60 013290.78
12/02/2023 075.26 004417.02 008935.74 013352.76
13/02/2023 075.63 004412.84 009056.62 013469.46
14/02/2023 074.70 004409.24 009012.76 013422.00
15/02/2023 075.04 004404.37 009099.75 013504.12
16/02/2023 075.53 004400.03 009220.48 013620.51
17/02/2023 073.92 004396.45 009090.44 013486.89
18/02/2023 072.51 004390.65 008946.65 013337.29
19/02/2023 071.28 004383.00 008792.95 013175.95
20/02/2023 071.79 004373.79 008788.69 013162.48
21/02/2023 072.69 004365.38 008847.65 013213.03
22/02/2023 075.29 004358.28 009209.28 013567.56
