Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 027.09 000312.19 000587.79 000899.98
24/01/2023 029.31 000317.32 000614.92 000932.24
25/01/2023 026.86 000325.40 000533.79 000859.19
26/01/2023 026.64 000330.17 000496.22 000826.39
27/01/2023 030.71 000334.63 000608.96 000943.59
28/01/2023 030.26 000344.66 000595.12 000939.79
29/01/2023 032.20 000353.96 000664.85 001018.81
30/01/2023 028.24 000366.23 000568.17 000934.39
31/01/2023 024.54 000372.52 000450.96 000823.47
01/02/2023 022.43 000374.30 000358.58 000732.88
02/02/2023 023.92 000373.97 000363.09 000737.06
03/02/2023 023.98 000375.10 000344.80 000719.89
04/02/2023 026.75 000376.28 000402.22 000778.50
05/02/2023 025.87 000380.58 000376.63 000757.21
06/02/2023 025.71 000383.80 000365.23 000749.03
07/02/2023 024.13 000386.82 000321.45 000708.27
08/02/2023 026.69 000388.08 000378.72 000766.79
09/02/2023 025.39 000392.24 000349.15 000741.38
10/02/2023 022.71 000394.84 000277.12 000671.95
11/02/2023 021.94 000394.65 000246.64 000641.29
12/02/2023 021.29 000393.76 000218.33 000612.09
13/02/2023 020.80 000392.32 000195.54 000587.86
14/02/2023 020.04 000390.49 000160.59 000551.08
15/02/2023 019.74 000388.08 000144.32 000532.40
16/02/2023 024.55 000385.67 000271.23 000656.89
17/02/2023 029.76 000387.38 000446.51 000833.89
18/02/2023 031.67 000395.67 000536.98 000932.65
19/02/2023 027.77 000406.82 000457.65 000864.47
20/02/2023 025.32 000412.24 000387.15 000799.39
21/02/2023 023.79 000414.63 000334.47 000749.11
22/02/2023 023.31 000415.37 000310.94 000726.31
