Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 084.52 000028.49 001042.33 001070.81
24/01/2023 085.13 000031.97 001181.35 001213.32
25/01/2023 085.69 000035.52 001324.03 001359.56
26/01/2023 086.23 000039.14 001473.84 001512.98
27/01/2023 086.70 000042.82 001591.43 001634.25
28/01/2023 087.07 000046.56 001635.12 001681.68
29/01/2023 087.47 000050.32 001658.77 001709.10
30/01/2023 087.88 000054.14 001676.61 001730.74
31/01/2023 088.07 000057.99 001679.36 001737.35
01/02/2023 088.18 000061.85 001680.64 001742.49
02/02/2023 087.30 000065.71 001679.01 001744.72
03/02/2023 086.79 000069.42 001678.28 001747.70
04/02/2023 086.64 000073.02 001686.96 001759.99
05/02/2023 086.51 000076.59 001687.39 001763.98
06/02/2023 086.36 000080.12 001683.36 001763.48
07/02/2023 086.29 000083.61 001683.44 001767.05
08/02/2023 086.37 000087.07 001689.50 001776.57
09/02/2023 086.54 000090.52 001698.95 001789.47
10/02/2023 086.81 000093.98 001711.94 001805.91
11/02/2023 086.97 000097.46 001717.55 001815.01
12/02/2023 087.63 000100.95 001760.54 001861.49
13/02/2023 088.43 000104.52 001821.78 001926.30
14/02/2023 088.93 000108.20 001868.02 001976.22
15/02/2023 089.23 000111.94 001906.85 002018.79
16/02/2023 089.47 000115.70 001951.78 002067.48
17/02/2023 089.55 000119.49 001981.74 002101.23
18/02/2023 089.69 000123.26 002024.66 002147.93
19/02/2023 089.99 000127.04 002106.58 002233.62
20/02/2023 089.97 000130.85 002135.07 002265.92
21/02/2023 089.87 000134.63 002149.77 002284.40
22/02/2023 089.78 000138.38 002163.07 002301.45
