Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 047.69 000087.75 000003.31 000091.06
24/01/2023 045.05 000087.70 000002.52 000090.22
25/01/2023 048.74 000087.52 000007.55 000095.06
26/01/2023 050.03 000087.51 000010.55 000098.06
27/01/2023 053.55 000087.57 000020.89 000108.46
28/01/2023 053.34 000087.82 000024.20 000112.02
29/01/2023 051.17 000088.06 000021.51 000109.57
30/01/2023 052.80 000088.17 000025.08 000113.25
31/01/2023 053.53 000088.38 000028.37 000116.74
01/02/2023 049.50 000088.62 000021.84 000110.46
02/02/2023 052.61 000088.65 000027.00 000115.65
03/02/2023 053.41 000088.84 000030.13 000118.98
04/02/2023 054.64 000089.08 000035.87 000124.96
05/02/2023 055.34 000089.39 000041.54 000130.93
06/02/2023 057.49 000089.74 000055.22 000144.96
07/02/2023 055.64 000090.23 000054.22 000144.45
08/02/2023 050.63 000090.59 000041.07 000131.67
09/02/2023 050.55 000090.67 000034.30 000124.97
10/02/2023 049.71 000090.75 000028.02 000118.77
11/02/2023 048.76 000090.78 000022.60 000113.38
12/02/2023 047.57 000090.76 000017.75 000108.51
13/02/2023 047.25 000090.68 000014.51 000105.20
14/02/2023 046.94 000090.59 000012.04 000102.63
15/02/2023 046.18 000090.49 000009.69 000100.18
16/02/2023 050.93 000090.35 000017.15 000107.51
17/02/2023 052.69 000090.45 000022.49 000112.93
18/02/2023 058.50 000090.64 000050.92 000141.56
19/02/2023 059.39 000091.19 000071.30 000162.48
20/02/2023 057.88 000091.79 000075.44 000167.24
21/02/2023 061.04 000092.30 000102.20 000194.50
22/02/2023 055.84 000093.02 000086.45 000179.46
