Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 079.53 000001.30 000000.00 000001.30
24/01/2023 079.50 000001.35 000494.24 000495.60
25/01/2023 079.49 000001.41 000716.76 000718.18
26/01/2023 079.41 000001.47 000788.01 000789.48
27/01/2023 079.34 000001.53 000819.28 000820.81
28/01/2023 079.49 000001.59 000855.72 000857.30
29/01/2023 079.71 000001.64 000898.27 000899.91
30/01/2023 079.67 000001.70 000918.61 000920.31
31/01/2023 079.66 000001.76 000938.63 000940.39
01/02/2023 079.65 000001.82 000957.33 000959.14
02/02/2023 077.49 000001.88 000977.42 000979.30
03/02/2023 076.56 000001.93 000962.14 000964.07
04/02/2023 076.59 000001.98 000985.09 000987.08
05/02/2023 076.74 000002.04 001012.54 001014.58
06/02/2023 076.67 000002.09 001024.15 001026.24
07/02/2023 076.62 000002.14 001034.60 001036.74
08/02/2023 076.76 000002.19 001058.55 001060.74
09/02/2023 076.88 000002.25 001082.82 001085.06
10/02/2023 076.85 000002.30 001096.10 001098.40
11/02/2023 077.16 000002.35 001138.04 001140.39
12/02/2023 077.23 000002.41 001164.28 001166.68
13/02/2023 077.21 000002.46 001180.75 001183.21
14/02/2023 077.03 000002.51 001181.07 001183.59
15/02/2023 076.86 000002.56 001179.92 001182.48
16/02/2023 076.38 000002.62 001154.45 001157.07
17/02/2023 076.12 000002.67 001142.13 001144.80
18/02/2023 076.09 000002.72 001143.17 001145.89
19/02/2023 075.90 000002.77 001135.68 001138.46
20/02/2023 075.68 000002.82 001125.68 001128.50
21/02/2023 075.71 000002.87 001127.67 001130.54
22/02/2023 075.46 000002.92 001115.58 001118.50
