Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 088.10 000654.34 001778.01 002432.35
24/01/2023 086.44 000667.16 001701.07 002368.23
25/01/2023 085.43 000678.45 001638.26 002316.71
26/01/2023 085.27 000688.79 001603.42 002292.21
27/01/2023 084.84 000698.86 001558.42 002257.28
28/01/2023 086.55 000708.45 001630.07 002338.52
29/01/2023 087.90 000719.27 001715.57 002434.84
30/01/2023 089.02 000731.02 001815.89 002546.92
31/01/2023 089.15 000743.54 001844.99 002588.53
01/02/2023 089.04 000756.00 001852.43 002608.42
02/02/2023 088.99 000768.19 001866.27 002634.46
03/02/2023 090.23 000780.17 002009.93 002790.09
04/02/2023 090.52 000793.03 002075.43 002868.45
05/02/2023 088.73 000805.95 001979.88 002785.84
06/02/2023 087.74 000817.20 001906.09 002723.29
07/02/2023 086.59 000827.48 001821.39 002648.87
08/02/2023 085.04 000836.69 001730.18 002566.86
09/02/2023 084.67 000844.54 001680.34 002524.88
10/02/2023 086.99 000852.00 001793.99 002645.99
11/02/2023 087.59 000861.19 001816.78 002677.97
12/02/2023 088.01 000870.74 001835.83 002706.56
13/02/2023 086.43 000880.50 001759.75 002640.25
14/02/2023 086.32 000888.84 001736.23 002625.08
15/02/2023 087.62 000896.99 001804.63 002701.62
16/02/2023 087.25 000906.07 001781.31 002687.38
17/02/2023 086.73 000914.73 001746.48 002661.21
18/02/2023 086.62 000922.84 001728.65 002651.49
19/02/2023 085.47 000930.76 001663.60 002594.36
20/02/2023 086.01 000937.66 001667.42 002605.07
21/02/2023 087.24 000944.88 001731.29 002676.18
22/02/2023 087.57 000953.00 001752.46 002705.47
