Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 020.71 000692.11 000511.10 001203.20
24/01/2023 023.32 000690.83 000559.39 001250.22
25/01/2023 024.87 000695.36 000576.36 001271.71
26/01/2023 024.90 000703.78 000532.16 001235.93
27/01/2023 026.00 000712.20 000567.29 001279.49
28/01/2023 028.87 000723.57 000757.65 001481.23
29/01/2023 030.10 000743.72 000847.02 001590.74
30/01/2023 027.27 000767.86 000669.53 001437.39
31/01/2023 024.30 000782.38 000486.82 001269.20
01/02/2023 024.92 000788.32 000496.70 001285.02
02/02/2023 022.82 000795.85 000387.70 001183.55
03/02/2023 020.48 000798.00 000245.20 001043.19
04/02/2023 019.74 000795.07 000236.65 001031.72
05/02/2023 019.37 000790.77 000237.44 001028.21
06/02/2023 020.76 000785.84 000310.08 001095.92
07/02/2023 021.74 000783.61 000354.54 001138.15
08/02/2023 020.50 000783.44 000281.56 001065.00
09/02/2023 019.32 000780.73 000202.46 000983.19
10/02/2023 018.54 000775.83 000164.10 000939.93
11/02/2023 018.00 000769.65 000147.09 000916.74
12/02/2023 017.17 000762.67 000098.63 000861.30
13/02/2023 016.47 000754.53 000065.76 000820.29
14/02/2023 015.76 000746.00 000042.16 000788.16
15/02/2023 015.02 000737.57 000026.59 000764.16
16/02/2023 014.30 000729.24 000016.75 000745.99
17/02/2023 013.62 000721.00 000010.56 000731.56
18/02/2023 013.44 000712.85 000045.17 000758.02
19/02/2023 015.50 000704.80 000185.35 000890.15
20/02/2023 016.81 000696.83 000243.43 000940.27
21/02/2023 016.78 000688.96 000225.29 000914.25
22/02/2023 017.47 000681.18 000245.11 000926.29
