Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 070.08 000330.30 001626.01 001956.31
24/01/2023 067.08 000369.66 001561.11 001930.77
25/01/2023 065.21 000394.42 001491.08 001885.49
26/01/2023 062.70 000410.63 001401.81 001812.44
27/01/2023 060.82 000416.27 001312.92 001729.19
28/01/2023 059.14 000414.52 001226.10 001640.62
29/01/2023 057.81 000409.76 001145.11 001554.87
30/01/2023 056.98 000405.05 001072.61 001477.66
31/01/2023 056.79 000400.40 001012.22 001412.62
01/02/2023 057.84 000395.80 000970.85 001366.65
02/02/2023 059.54 000391.26 000947.15 001338.40
03/02/2023 066.20 000386.76 001080.27 001467.03
04/02/2023 070.83 000407.38 001287.34 001694.73
05/02/2023 072.47 000449.58 001482.63 001932.21
06/02/2023 070.83 000499.65 001532.60 002032.25
07/02/2023 069.98 000540.75 001566.98 002107.73
08/02/2023 069.68 000577.19 001600.22 002177.41
09/02/2023 068.40 000611.79 001585.67 002197.46
10/02/2023 068.63 000639.84 001600.04 002239.88
11/02/2023 067.42 000668.67 001568.66 002237.33
12/02/2023 065.00 000691.54 001496.28 002187.81
13/02/2023 063.60 000703.47 001425.50 002128.96
14/02/2023 063.25 000709.35 001366.00 002075.36
15/02/2023 065.41 000713.75 001365.44 002079.18
16/02/2023 065.62 000727.16 001341.04 002068.21
17/02/2023 067.30 000741.33 001367.31 002108.63
18/02/2023 067.71 000762.84 001379.60 002142.44
19/02/2023 068.45 000785.99 001411.92 002197.90
20/02/2023 068.42 000812.29 001429.09 002241.39
21/02/2023 068.37 000838.16 001443.59 002281.76
22/02/2023 068.11 000863.48 001448.83 002312.32
