Data       TU     EB        SUP       Qajustada
20/11/2022 000.00 000000.00 000000.00 000000.00
21/11/2022 000.00 000000.00 000000.00 000000.00
22/11/2022 000.00 000000.00 000000.00 000000.00
23/11/2022 000.00 000000.00 000000.00 000000.00
24/11/2022 000.00 000000.00 000000.00 000000.00
25/11/2022 000.00 000000.00 000000.00 000000.00
26/11/2022 000.00 000000.00 000000.00 000000.00
27/11/2022 000.00 000000.00 000000.00 000000.00
28/11/2022 000.00 000000.00 000000.00 000000.00
29/11/2022 000.00 000000.00 000000.00 000000.00
30/11/2022 000.00 000000.00 000000.00 000000.00
01/12/2022 000.00 000000.00 000000.00 000000.00
02/12/2022 000.00 000000.00 000000.00 000000.00
03/12/2022 000.00 000000.00 000000.00 000000.00
04/12/2022 000.00 000000.00 000000.00 000000.00
05/12/2022 000.00 000000.00 000000.00 000000.00
06/12/2022 000.00 000000.00 000000.00 000000.00
07/12/2022 000.00 000000.00 000000.00 000000.00
08/12/2022 000.00 000000.00 000000.00 000000.00
09/12/2022 000.00 000000.00 000000.00 000000.00
10/12/2022 000.00 000000.00 000000.00 000000.00
11/12/2022 000.00 000000.00 000000.00 000000.00
12/12/2022 000.00 000000.00 000000.00 000000.00
13/12/2022 000.00 000000.00 000000.00 000000.00
14/12/2022 000.00 000000.00 000000.00 000000.00
15/12/2022 000.00 000000.00 000000.00 000000.00
16/12/2022 000.00 000000.00 000000.00 000000.00
17/12/2022 000.00 000000.00 000000.00 000000.00
18/12/2022 000.00 000000.00 000000.00 000000.00
19/12/2022 000.00 000000.00 000000.00 000000.00
20/12/2022 000.00 000000.00 000000.00 000000.00
21/12/2022 000.00 000000.00 000000.00 000000.00
22/12/2022 000.00 000000.00 000000.00 000000.00
23/12/2022 000.00 000000.00 000000.00 000000.00
24/12/2022 000.00 000000.00 000000.00 000000.00
25/12/2022 000.00 000000.00 000000.00 000000.00
26/12/2022 000.00 000000.00 000000.00 000000.00
27/12/2022 000.00 000000.00 000000.00 000000.00
28/12/2022 000.00 000000.00 000000.00 000000.00
29/12/2022 000.00 000000.00 000000.00 000000.00
30/12/2022 000.00 000000.00 000000.00 000000.00
31/12/2022 000.00 000000.00 000000.00 000000.00
01/01/2023 000.00 000000.00 000000.00 000000.00
02/01/2023 000.00 000000.00 000000.00 000000.00
03/01/2023 000.00 000000.00 000000.00 000000.00
04/01/2023 000.00 000000.00 000000.00 000000.00
05/01/2023 000.00 000000.00 000000.00 000000.00
06/01/2023 000.00 000000.00 000000.00 000000.00
07/01/2023 000.00 000000.00 000000.00 000000.00
08/01/2023 000.00 000000.00 000000.00 000000.00
09/01/2023 000.00 000000.00 000000.00 000000.00
10/01/2023 000.00 000000.00 000000.00 000000.00
11/01/2023 000.00 000000.00 000000.00 000000.00
12/01/2023 000.00 000000.00 000000.00 000000.00
13/01/2023 000.00 000000.00 000000.00 000000.00
14/01/2023 000.00 000000.00 000000.00 000000.00
15/01/2023 000.00 000000.00 000000.00 000000.00
16/01/2023 000.00 000000.00 000000.00 000000.00
17/01/2023 000.00 000000.00 000000.00 000000.00
18/01/2023 000.00 000000.00 000000.00 000000.00
19/01/2023 000.00 000000.00 000000.00 000000.00
20/01/2023 000.00 000000.00 000000.00 000000.00
21/01/2023 000.00 000000.00 000000.00 000000.00
22/01/2023 000.00 000000.00 000000.00 000000.00
23/01/2023 060.50 000210.24 000168.57 000378.81
24/01/2023 060.54 000206.33 000155.96 000362.30
25/01/2023 060.89 000202.59 000145.33 000347.92
26/01/2023 060.60 000199.58 000134.75 000334.33
27/01/2023 063.75 000196.10 000136.68 000332.78
28/01/2023 068.24 000198.70 000166.77 000365.48
29/01/2023 070.02 000210.84 000209.83 000420.66
30/01/2023 069.31 000226.81 000238.43 000465.24
31/01/2023 070.86 000240.76 000287.48 000528.25
01/02/2023 070.45 000258.08 000325.46 000583.54
02/02/2023 070.93 000274.02 000367.48 000641.50
03/02/2023 067.69 000290.73 000362.62 000653.35
04/02/2023 069.04 000299.52 000374.76 000674.28
05/02/2023 067.42 000311.19 000367.75 000678.94
06/02/2023 069.67 000318.90 000387.58 000706.48
07/02/2023 068.24 000331.59 000386.94 000718.53
08/02/2023 074.22 000340.69 000495.90 000836.58
09/02/2023 074.32 000364.20 000627.41 000991.61
10/02/2023 065.33 000387.41 000579.54 000966.95
11/02/2023 064.26 000388.89 000536.04 000924.93
12/02/2023 063.03 000388.12 000492.62 000880.74
13/02/2023 062.26 000384.92 000451.82 000836.74
14/02/2023 062.81 000380.29 000417.52 000797.81
15/02/2023 063.59 000376.84 000389.00 000765.84
16/02/2023 062.86 000375.00 000359.44 000734.44
17/02/2023 063.02 000371.76 000334.01 000705.77
18/02/2023 064.04 000368.92 000315.20 000684.12
19/02/2023 064.25 000368.17 000297.95 000666.12
20/02/2023 062.59 000367.85 000275.52 000643.37
21/02/2023 064.69 000364.25 000266.21 000630.47
22/02/2023 065.76 000364.92 000261.46 000626.38
