data;AVERMELHA;SSIMAO2;NAvanhanda;Capivara;Manso;Ita;IRAPE;Candonga;DFRANC;Smesa;PimentalT;Colider;BaixoIg;SOBRADINHO
01/01/1991;5.853534001;5.460112819;5.204119383;5.054262972;3.046152496;5.562384934;3.378755245;3.524211256;6.233193905;3.795172033;2.289785324;2.279510762;5.8653782;4.595760246
02/01/1991;5.336791008;4.256855393;5.383490124;5.227807914;3.164857101;4.886119905;3.897801378;4.474787072;4.008727703;2.876444785;2.362544152;2.722271043;5.427155447;4.284837629
03/01/1991;3.939874136;4.049392975;3.587298762;3.707056702;3.133248901;3.531132933;4.264806677;5.276855855;4.159119626;4.311682186;4.169970605;3.187051471;2.822818567;4.966283308
04/01/1991;1.883826307;2.246993744;1.487211798;3.022024548;3.425997162;5.546564321;2.972896322;1.7838523;6.403067731;3.746937353;3.642505523;3.190796954;5.265662467;4.521614863
05/01/1991;3.149360247;2.85358121;4.240008946;4.215884066;2.591808319;5.985696761;2.480814616;1.563997969;6.083557778;3.900568286;3.273469986;3.2777374;5.586330301;3.876028705
06/01/1991;4.139437111;3.549416824;5.079541728;5.431996952;3.306122971;6.167808157;1.931240506;2.228347778;5.95125174;2.992740542;2.654322963;2.998092607;6.433951501;3.41222781
07/01/1991;4.875996908;3.953465793;5.232338119;4.84790731;2.382667542;5.988798548;3.149703414;3.075349059;5.561701998;3.059542517;2.150586528;1.727463076;5.988889184;3.215285522
08/01/1991;4.432312012;3.749021555;5.181520782;5.397303284;3.197794342;6.428903548;4.21421441;3.395369131;5.793713509;3.556178133;1.267987651;2.647795312;6.373832476;4.604628702
09/01/1991;3.924645537;3.629575911;4.156717342;5.038354789;2.809569168;5.921931032;4.280413592;3.235732453;5.992480339;3.432130626;3.560486332;2.733435551;5.824236275;4.33393459
10/01/1991;3.982952815;4.197647212;4.083724196;4.373843544;3.309740448;3.582532289;4.651841905;3.829997002;4.123569894;4.115725808;4.057352374;3.503224486;4.944922117;4.830757291
11/01/1991;2.482133435;2.793870313;2.334836194;3.046607137;3.180649185;5.027772997;3.309097177;2.910653996;5.928214215;2.501797815;3.009260608;3.001782156;4.937112034;3.742726221
12/01/1991;1.851470619;1.022992995;2.161271367;3.407932791;2.556035614;5.476697078;1.31934012;1.506729319;5.397658977;1.009528075;2.34852797;2.319580606;5.717449528;1.940250201
13/01/1991;2.207325269;2.004031145;2.575060768;4.675849945;2.692573929;5.283609359;1.774628816;0.971153742;5.362621551;0.743557567;2.066360966;2.56208278;5.446518095;1.671506857
14/01/1991;2.94390016;1.908845171;2.578122327;2.217007656;0.467583418;5.60470431;2.910662164;2.088635602;4.243993556;0.738758356;1.606070119;0.707683728;5.728648573;2.189354604
15/01/1991;1.029697869;1.001510189;2.07176086;3.067735927;1.556116295;5.665356245;1.377082994;1.278296845;5.98063822;1.019604965;2.137180205;1.933006616;5.670077787;1.339098816
16/01/1991;2.886712187;1.901869904;3.464975622;4.885043372;1.894436646;6.043890781;1.067184109;1.722142087;4.887714467;1.313240015;1.680920386;1.464405071;6.667797126;1.996764531
17/01/1991;5.082432244;4.224974645;4.802862682;4.708077991;3.435624313;6.006258105;1.124476002;3.716156778;6.022986879;2.6452098;2.711338166;3.016715893;6.479908556;2.458468188
18/01/1991;4.9233848;4.133418772;5.106179787;4.877984051;3.562634277;6.004059338;3.022617142;1.123224669;6.398429059;3.036193275;2.744099279;2.905674124;6.231275502;3.227623172
19/01/1991;4.010842272;3.896381133;4.266939706;4.784950658;3.647671509;5.760359967;5.369361708;3.823795367;5.108947105;3.567377081;1.926515395;2.516110467;6.444433835;4.443888663
20/01/1991;4.345737252;4.658251451;4.045165125;4.006832725;4.237912369;6.143266522;4.418396448;4.20284532;6.242912779;4.611121236;3.177828389;3.447839742;6.517460889;4.581485193
21/01/1991;4.465114142;4.73409132;4.896867515;4.518870983;4.405390167;6.699562448;4.730339446;4.556615902;6.949220698;4.45012826;3.838155439;3.977606606;5.904869155;4.586112532
22/01/1991;4.831758561;4.830443081;4.571689578;4.392146678;4.62048111;5.478631192;4.918572772;5.03413874;3.79334535;4.855226902;3.708656311;4.244375971;5.591413743;4.570156334
23/01/1991;4.475853048;3.433276179;4.880572465;4.802592042;3.923707581;4.525099457;5.153908058;4.67996718;5.537204174;3.575712822;3.399374193;4.209518037;4.474090576;4.459367978
24/01/1991;4.326848512;4.720571013;4.137037737;3.661700909;3.995393753;3.291928401;4.812233706;4.074934561;2.790434817;4.325637746;3.877217447;3.755071019;2.52529741;4.243045104
25/01/1991;3.724404284;3.777420319;3.322838108;3.066887612;4.583633423;0.882363116;4.299422201;2.932636889;2.265850148;3.932766767;3.496104579;4.388989891;1.327213552;4.170988836
26/01/1991;2.628730528;3.403885162;2.087306336;1.662802754;4.80847702;2.35048563;4.443489583;3.009971908;3.606926451;3.499269871;3.622121011;3.833483429;2.922763938;4.310320486
27/01/1991;2.704833328;2.987214312;1.758007523;3.598318;2.593274689;3.888858733;3.377092376;3.091347224;4.982429667;2.680863501;3.007139144;3.243337846;4.112918061;4.049550786
28/01/1991;2.902364751;3.311168524;2.573612854;3.977656191;3.824085999;4.378182833;3.027008283;2.412653283;5.146539242;2.960942658;3.081044351;3.814638869;5.068996316;4.198411717
29/01/1991;4.101563813;4.459866168;3.516021729;2.575898576;4.456600189;4.288921419;3.355365216;2.873246784;4.46401523;3.770999532;3.0019642;3.853692222;2.580552507;4.11001722
30/01/1991;4.065803774;4.179064282;4.038739058;2.496702372;2.330167389;1.347950044;5.200078668;4.326725441;3.055143316;3.654219793;2.161059964;2.491592275;0.602664985;4.885014548
31/01/1991;3.274714644;3.047693405;2.842096705;2.062723384;3.048029327;4.143286033;4.944737413;4.513040663;3.755734383;3.792489638;2.865336264;3.112442236;4.467664662;4.731827605
01/02/1991;2.571216542;2.051488881;2.353074568;2.546746258;1.140262222;4.205459845;5.180310511;4.19813132;4.558395061;3.730018866;2.505087083;1.370972735;4.891949644;5.010694761
02/02/1991;2.35095461;3.186078461;1.875976563;2.624277957;2.032245636;4.971963351;5.796885851;5.474185606;5.654259864;4.002549149;2.18665043;2.089118364;5.100107929;4.884483163
03/02/1991;2.901852844;3.799378854;2.685826879;2.584485012;3.910646057;4.831471928;5.232688621;4.637154108;5.070700463;4.454200709;2.607002012;3.462616934;4.47916707;4.852634701
04/02/1991;3.999413931;4.614068274;3.982280202;3.682830193;4.067727661;4.442060627;4.141762514;3.547401138;5.190070619;4.174896957;2.584800966;2.907496384;4.286308062;4.618696757
05/02/1991;4.154798282;4.127218604;4.389785655;3.513365217;3.550048828;4.63720553;4.845404731;4.351985497;5.399257903;3.741725581;2.732975621;2.478014152;4.451535367;4.193556941
06/02/1991;4.341035904;4.112768492;4.105193869;4.042951205;4.529772186;4.962913138;4.637404152;4.691788299;5.455969628;3.500180813;3.327625398;3.316027726;4.976463998;4.292878614
07/02/1991;3.663721884;3.202378143;4.005317632;3.388149987;3.86051178;4.500027516;4.643466073;4.770906086;4.988768557;3.696167565;3.806738084;3.201242233;3.903896823;3.965319061
08/02/1991;3.601440102;3.713618654;3.491924648;2.961302723;2.748731422;4.22921803;4.244543005;4.040859947;4.655898074;2.607037898;2.726175616;2.229608629;4.155333868;3.955611605
09/02/1991;3.500196559;3.502523309;2.902214997;2.043635071;2.682781982;2.42864665;3.455100279;4.055557058;3.465785899;2.204427656;3.404194493;2.481852331;2.065662799;4.09690267
10/02/1991;3.16429089;3.455228752;2.807230037;2.548938828;3.211131287;3.739398644;4.574490922;3.415427679;4.002979684;4.259410876;2.710279895;3.06704193;3.799861492;4.911093247
11/02/1991;2.776128297;2.706403012;3.193057318;3.452993293;3.926039886;4.79161497;4.871113191;3.250497166;5.312908416;4.432777082;3.946145335;4.181067915;4.509678605;4.972084514
12/02/1991;3.642284434;4.113108657;3.94402898;3.418267995;3.889891815;3.525111714;4.19676378;3.511410098;3.121161928;4.087101466;4.393605878;4.194362673;3.472351074;4.715334782
13/02/1991;4.284895046;4.133571909;3.950124922;4.396059353;4.859933472;3.60151047;4.082349537;4.238432679;3.847439705;4.641037059;3.804242288;3.876618223;4.266691302;4.224800128
14/02/1991;3.735055903;2.878143703;4.430592781;4.582659887;3.6409935;3.814989184;2.826701298;3.519045673;3.739437022;2.410473747;3.591957338;4.1721603;3.664162815;2.886266497
